bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Fayetteville Bank,9/30/20,81,55,39,16,33,35,7
Fayetteville Bank,6/30/20,85,55,39,17,36,37,7
Fayetteville Bank,3/31/20,87,57,41,18,37,35,8
Fayetteville Bank,12/31/19,97,64,45,21,40,37,8
Fayetteville Bank,9/30/19,95,62,46,21,39,40,9
Fayetteville Bank,6/30/19,84,57,45,23,34,50,9
Fayetteville Bank,3/31/19,85,58,47,24,34,58,9
Fayetteville Bank,12/31/18,80,52,43,20,35,55,9
Fayetteville Bank,9/30/18,76,47,38,18,33,49,8
Fayetteville Bank,6/30/18,77,45,36,16,34,48,9
Fayetteville Bank,3/31/18,77,44,35,15,34,40,9
Fayetteville Bank,12/31/17,80,46,37,15,36,39,9
Fayetteville Bank,9/30/17,85,46,4,16,39,45,10
Fayetteville Bank,6/30/17,87,48,41,15,40,43,11
Fayetteville Bank,3/31/17,83,45,38,13,37,39,12
Fayetteville Bank,12/31/16,83,43,37,10,40,39,13
Fayetteville Bank,9/30/16,82,29,25,6,43,32,12
Fayetteville Bank,6/30/16,85,30,26,7,46,32,12
Fayetteville Bank,3/31/16,92,30,26,7,49,32,12
Fayetteville Bank,12/31/15,96,32,28,8,49,35,12
Fayetteville Bank,9/30/15,99,34,29,7,53,29,12
Fayetteville Bank,6/30/15,15,35,29,7,56,21,14
Fayetteville Bank,3/31/15,105,33,26,3,58,20,15
Fayetteville Bank,12/31/14,108,36,29,4,57,25,16
Fayetteville Bank,9/30/14,108,35,28,4,56,24,16
Fayetteville Bank,6/30/14,113,34,27,3,60,24,16
Fayetteville Bank,3/31/14,116,36,28,3,60,24,17
Fayetteville Bank,12/31/13,120,38,30,3,62,27,18
Fayetteville Bank,9/30/13,124,62,54,2,62,24,19
Fayetteville Bank,6/30/13,127,41,32,8,59,31,17
Fayetteville Bank,3/31/13,130,46,30,13,56,28,14
Fayetteville Bank,12/31/12,146,52,41,16,61,30,16
Fayetteville Bank,9/30/12,152,56,45,18,63,27,16
Fayetteville Bank,6/30/12,162,61,49,18,67,30,18
Fayetteville Bank,3/31/12,171,65,53,21,69,31,18
Fayetteville Bank,12/31/11,184,69,55,20,74,33,21
Fayetteville Bank,9/30/11,195,76,60,21,76,34,23
Fayetteville Bank,6/30/11,199,78,60,18,75,32,22
Fayetteville Bank,3/31/11,213,83,64,20,78,36,24
Fayetteville Bank,12/31/10,238,95,73,22,82,37,24
Fayetteville Bank,9/30/10,253,98,74,23,86,39,28
Fayetteville Bank,6/30/10,281,112,86,24,91,41,32
Fayetteville Bank,3/31/10,303,127,98,32,87,41,31
Fayetteville Bank,12/31/09,311,135,14,36,84,44,31
Fayetteville Bank,9/30/09,338,145,115,40,93,42,34
Fayetteville Bank,6/30/09,358,147,115,40,96,46,34
Fayetteville Bank,3/31/09,383,154,123,43,103,44,36
Fayetteville Bank,12/31/08,439,175,142,46,117,50,39
Fayetteville Bank,9/30/08,455,172,142,43,129,71,40
Fayetteville Bank,6/30/08,445,136,107,27,145,70,38
Fayetteville Bank,3/31/08,418,95,61,22,154,52,37
Fayetteville Bank,12/31/07,434,96,N/A,16,182,48,39
Fayetteville Bank,9/30/07,487,131,N/A,21,185,48,35
Fayetteville Bank,6/30/07,479,115,N/A,17,181,40,34
Fayetteville Bank,3/31/07,484,111,N/A,19,194,31,32
Fayetteville Bank,12/31/06,502,129,N/A,25,203,30,31
Fayetteville Bank,9/30/06,489,121,N/A,29,21,28,32
Fayetteville Bank,6/30/06,475,99,N/A,23,216,29,30
Fayetteville Bank,3/31/06,479,82,N/A,13,224,27,40
Fayetteville Bank,12/31/05,502,90,N/A,10,237,27,35
Fayetteville Bank,9/30/05,504,87,N/A,7,240,28,35
Fayetteville Bank,6/30/05,508,79,N/A,7,249,40,35
Fayetteville Bank,3/31/05,504,77,N/A,1,255,43,36
Fayetteville Bank,12/31/04,600,100,N/A,0,297,46,44
Fayetteville Bank,9/30/04,580,87,N/A,5,297,23,45
Fayetteville Bank,6/30/04,590,76,N/A,7,315,26,45
Fayetteville Bank,3/31/04,613,81,N/A,11,317,26,55
Fayetteville Bank,12/31/03,621,83,N/A,8,334,34,62
Fayetteville Bank,9/30/03,632,77,N/A,0,353,30,65
Fayetteville Bank,6/30/03,729,84,N/A,1,394,41,86
Fayetteville Bank,3/31/03,753,90,N/A,1,414,46,83
Fayetteville Bank,12/31/02,777,101,N/A,1,434,48,85
