bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Lumbee Guaranty Bank,9/30/20,399,243,125,35,126,70,16
Lumbee Guaranty Bank,6/30/20,398,240,114,47,139,68,16
Lumbee Guaranty Bank,3/31/20,405,244,119,52,141,19,17
Lumbee Guaranty Bank,12/31/19,399,241,118,51,144,20,17
Lumbee Guaranty Bank,9/30/19,394,239,122,57,141,20,17
Lumbee Guaranty Bank,6/30/19,396,242,123,59,140,20,18
Lumbee Guaranty Bank,3/31/19,392,242,128,59,138,16,18
Lumbee Guaranty Bank,12/31/18,400,249,131,59,140,17,19
Lumbee Guaranty Bank,9/30/18,405,254,132,60,140,19,19
Lumbee Guaranty Bank,6/30/18,404,250,127,58,143,17,18
Lumbee Guaranty Bank,3/31/18,397,243,122,61,144,17,17
Lumbee Guaranty Bank,12/31/17,413,258,129,65,146,17,18
Lumbee Guaranty Bank,9/30/17,401,252,124,63,143,20,17
Lumbee Guaranty Bank,6/30/17,406,258,125,63,143,23,17
Lumbee Guaranty Bank,3/31/17,411,259,125,63,146,23,16
Lumbee Guaranty Bank,12/31/16,413,260,126,60,147,24,17
Lumbee Guaranty Bank,9/30/16,424,269,132,65,149,23,18
Lumbee Guaranty Bank,6/30/16,434,270,130,67,158,24,18
Lumbee Guaranty Bank,3/31/16,434,267,125,64,161,24,19
Lumbee Guaranty Bank,12/31/15,435,270,134,72,159,22,20
Lumbee Guaranty Bank,9/30/15,444,277,138,71,160,20,20
Lumbee Guaranty Bank,6/30/15,462,288,146,77,167,23,22
Lumbee Guaranty Bank,3/31/15,446,278,138,71,161,28,22
Lumbee Guaranty Bank,12/31/14,460,287,144,79,167,30,24
Lumbee Guaranty Bank,9/30/14,471,291,150,85,173,31,25
Lumbee Guaranty Bank,6/30/14,478,293,152,85,179,34,26
Lumbee Guaranty Bank,3/31/14,477,291,153,90,178,36,26
Lumbee Guaranty Bank,12/31/13,476,292,146,84,176,31,28
Lumbee Guaranty Bank,9/30/13,476,283,147,85,185,32,30
Lumbee Guaranty Bank,6/30/13,479,282,145,81,189,30,31
Lumbee Guaranty Bank,3/31/13,466,271,143,80,186,28,32
Lumbee Guaranty Bank,12/31/12,467,274,148,82,185,28,34
Lumbee Guaranty Bank,9/30/12,463,270,144,77,185,29,35
Lumbee Guaranty Bank,6/30/12,490,291,154,84,190,31,36
Lumbee Guaranty Bank,3/31/12,485,290,159,89,187,29,35
Lumbee Guaranty Bank,12/31/11,492,294,155,87,190,31,38
Lumbee Guaranty Bank,9/30/11,495,299,156,87,188,30,41
Lumbee Guaranty Bank,6/30/11,498,304,157,85,186,27,41
Lumbee Guaranty Bank,3/31/11,493,296,149,82,189,27,41
Lumbee Guaranty Bank,12/31/10,487,282,145,75,197,27,43
Lumbee Guaranty Bank,9/30/10,497,294,154,85,194,29,43
Lumbee Guaranty Bank,6/30/10,506,300,150,92,197,29,48
Lumbee Guaranty Bank,3/31/10,495,295,152,91,192,27,48
Lumbee Guaranty Bank,12/31/09,505,300,158,94,198,31,51
Lumbee Guaranty Bank,9/30/09,489,290,153,90,191,31,52
Lumbee Guaranty Bank,6/30/09,471,268,136,77,195,31,53
Lumbee Guaranty Bank,3/31/09,446,247,118,65,192,31,53
Lumbee Guaranty Bank,12/31/08,438,242,114,78,188,33,54
Lumbee Guaranty Bank,9/30/08,426,238,113,79,180,32,55
Lumbee Guaranty Bank,6/30/08,436,247,115,79,180,33,55
Lumbee Guaranty Bank,3/31/08,424,241,111,74,175,29,57
Lumbee Guaranty Bank,12/31/07,444,254,117,80,181,30,60
Lumbee Guaranty Bank,9/30/07,445,260,119,81,176,32,61
Lumbee Guaranty Bank,6/30/07,448,261,113,74,178,30,62
Lumbee Guaranty Bank,3/31/07,450,259,134,104,181,29,63
Lumbee Guaranty Bank,12/31/06,454,258, N/A ,101,185,29,66
Lumbee Guaranty Bank,9/30/06,454,252, N/A ,93,190,33,68
Lumbee Guaranty Bank,6/30/06,449,245, N/A ,81,193,35,70
Lumbee Guaranty Bank,3/31/06,439,235, N/A ,68,191,35,70
Lumbee Guaranty Bank,12/31/05,436,229, N/A ,67,194,34,72
Lumbee Guaranty Bank,9/30/05,449,240, N/A ,74,195,34,74
Lumbee Guaranty Bank,6/30/05,456,243, N/A ,78,200,36,75
Lumbee Guaranty Bank,3/31/05,444,238, N/A ,79,193,36,74
Lumbee Guaranty Bank,12/31/04,429,226, N/A ,79,188,37,77
Lumbee Guaranty Bank,9/30/04,432,229, N/A ,75,188,34,82
Lumbee Guaranty Bank,6/30/04,422,211, N/A ,65,197,36,85
Lumbee Guaranty Bank,3/31/04,398,200, N/A ,71,184,38,88
Lumbee Guaranty Bank,12/31/03,405,208, N/A ,79,182,39,91
Lumbee Guaranty Bank,9/30/03,389,198, N/A ,72,176,41,92
Lumbee Guaranty Bank,6/30/03,378,191, N/A ,64,175,43,93
Lumbee Guaranty Bank,3/31/03,371,191, N/A ,61,173,40,93
Lumbee Guaranty Bank,12/31/02,365,186, N/A ,59,170,40,99
