bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Andover Bank,9/30/20,443,49,11,4,391,45,9
Andover Bank,6/30/20,445,53,13,5,390,43,10
Andover Bank,3/31/20,433,53,13,5,377,3,10
Andover Bank,12/31/19,438,65,26,5,370,3,10
Andover Bank,9/30/19,423,66,27,5,354,4,10
Andover Bank,6/30/19,419,63,29,6,353,4,10
Andover Bank,3/31/19,420,68,29,5,349,5,9
Andover Bank,12/31/18,432,70,30,5,358,4,10
Andover Bank,9/30/18,431,74,29,4,353,4,10
Andover Bank,6/30/18,443,76,31,5,363,5,11
Andover Bank,3/31/18,433,74,29,4,355,5,10
Andover Bank,12/31/17,440,72,25,3,364,5,10
Andover Bank,9/30/17,425,69,27,5,352,5,10
Andover Bank,6/30/17,425,70,32,9,350,5,9
Andover Bank,3/31/17,429,71,31,9,353,6,9
Andover Bank,12/31/16,439,76,34,12,358,14,10
Andover Bank,9/30/16,436,76,32,9,356,15,9
Andover Bank,6/30/16,449,75,28,6,369,16,9
Andover Bank,3/31/16,453,75,24,3,372,18,9
Andover Bank,12/31/15,417,40,19,1,372,43,10
Andover Bank,9/30/15,304,34,13,0,266,40,7
Andover Bank,6/30/15,295,25,2,0,267,53,8
Andover Bank,3/31/15,288,25,2,0,259,43,8
Andover Bank,12/31/14,299,27,2,0,268,42,9
Andover Bank,9/30/14,298,28,2,0,266,31,9
Andover Bank,6/30/14,306,29,2,0,272,29,9
Andover Bank,3/31/14,302,31,2,1,266,31,9
Andover Bank,12/31/13,304,33,2,1,266,30,10
Andover Bank,9/30/13,311,35,2,0,271,28,10
Andover Bank,6/30/13,320,49,14,13,266,28,10
Andover Bank,3/31/13,323,51,14,14,266,29,11
Andover Bank,12/31/12,337,55,15,14,277,31,12
Andover Bank,9/30/12,346,57,16,15,286,28,12
Andover Bank,6/30/12,356,64,20,19,289,29,13
Andover Bank,3/31/12,369,68,22,20,298,29,14
Andover Bank,12/31/11,399,74,25,23,321,29,16
Andover Bank,9/30/11,419,79,28,26,337,31,16
Andover Bank,6/30/11,436,82,23,22,351,30,16
Andover Bank,3/31/11,449,85,22,21,361,20,16
Andover Bank,12/31/10,472,91,23,23,377,31,16
Andover Bank,9/30/10,453,95,24,24,354,18,16
Andover Bank,6/30/10,488,101,26,26,383,15,18
Andover Bank,3/31/10,490,104,26,26,382,16,18
Andover Bank,12/31/09,523,115,30,30,403,16,19
Andover Bank,9/30/09,525,114,29,29,406,16,20
Andover Bank,6/30/09,564,123,30,30,436,18,21
Andover Bank,3/31/09,548,118,29,29,425,18,19
Andover Bank,12/31/08,584,123,30,30,456,20,21
Andover Bank,9/30/08,572,120,29,29,447,19,21
Andover Bank,6/30/08,566,124,26,27,438,20,21
Andover Bank,3/31/08,553,121,25,25,428,19,22
Andover Bank,12/31/07,562,124,N/A,25,433,17,25
Andover Bank,9/30/07,525,116,N/A,22,404,16,25
Andover Bank,6/30/07,509,111,N/A,21,391,16,26
Andover Bank,3/31/07,494,108,N/A,21,379,17,26
Andover Bank,12/31/06,490,103,N/A,15,377,17,26
Andover Bank,9/30/06,460,86,N/A,11,365,17,27
Andover Bank,6/30/06,465,85,N/A,8,370,17,28
Andover Bank,3/31/06,458,88,N/A,8,359,18,29
Andover Bank,12/31/05,469,88,N/A,7,370,20,31
Andover Bank,9/30/05,450,86,N/A,5,353,19,31
Andover Bank,6/30/05,449,86,N/A,4,352,20,30
Andover Bank,3/31/05,441,86,N/A,4,344,21,28
Andover Bank,12/31/04,462,95,N/A,5,354,17,28
Andover Bank,9/30/04,420,85,N/A,5,326,16,28
Andover Bank,6/30/04,431,89,N/A,8,333,16,29
Andover Bank,3/31/04,434,87,N/A,8,338,17,29
Andover Bank,12/31/03,445,84,N/A,8,351,18,31
Andover Bank,9/30/03,431,75,N/A,5,347,15,31
Andover Bank,6/30/03,427,76,N/A,7,340,18,33
Andover Bank,3/31/03,413,74,N/A,5,327,19,34
Andover Bank,12/31/02,420,75,N/A,5,333,18,36
