bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Bank of Tescott,9/30/20,333,40,36,6,130,26,11
Bank of Tescott,6/30/20,337,34,30,6,133,25,11
Bank of Tescott,3/31/20,347,34,29,5,140,13,11
Bank of Tescott,12/31/19,352,33,29,7,140,15,11
Bank of Tescott,9/30/19,366,37,31,8,144,14,11
Bank of Tescott,6/30/19,370,37,31,6,143,16,10
Bank of Tescott,3/31/19,365,38,32,7,141,22,11
Bank of Tescott,12/31/18,377,40,35,8,144,25,11
Bank of Tescott,9/30/18,392,44,35,8,149,22,12
Bank of Tescott,6/30/18,391,54,44,10,151,19,12
Bank of Tescott,3/31/18,406,54,44,10,152,19,13
Bank of Tescott,12/31/17,418,60,50,10,157,24,14
Bank of Tescott,9/30/17,430,65,54,12,163,22,15
Bank of Tescott,6/30/17,437,69,58,12,164,21,15
Bank of Tescott,3/31/17,438,70,58,14,176,22,16
Bank of Tescott,12/31/16,434,70,56,12,179,24,17
Bank of Tescott,9/30/16,430,67,52,13,180,24,17
Bank of Tescott,6/30/16,427,69,53,13,176,20,18
Bank of Tescott,3/31/16,421,68,51,12,178,20,19
Bank of Tescott,12/31/15,433,73,56,10,179,25,19
Bank of Tescott,9/30/15,428,70,51,9,183,23,19
Bank of Tescott,6/30/15,430,71,50,9,190,21,20
Bank of Tescott,3/31/15,427,64,52,10,200,21,20
Bank of Tescott,12/31/14,442,68,54,10,204,24,21
Bank of Tescott,9/30/14,441,73,51,9,199,26,21
Bank of Tescott,6/30/14,448,66,43,2,210,24,21
Bank of Tescott,3/31/14,453,67,43,2,215,24,21
Bank of Tescott,12/31/13,459,72,47,5,231,23,22
Bank of Tescott,9/30/13,451,72,47,4,229,29,23
Bank of Tescott,6/30/13,428,65,40,5,214,23,23
Bank of Tescott,3/31/13,430,69,42,6,212,23,23
Bank of Tescott,12/31/12,439,70,43,7,219,26,24
Bank of Tescott,9/30/12,423,66,40,9,210,33,24
Bank of Tescott,6/30/12,434,68,41,10,217,34,23
Bank of Tescott,3/31/12,446,77,47,16,217,26,21
Bank of Tescott,12/31/11,458,79,47,15,230,26,22
Bank of Tescott,9/30/11,449,83,51,17,226,29,21
Bank of Tescott,6/30/11,458,86,53,18,230,33,21
Bank of Tescott,3/31/11,459,86,53,18,231,34,22
Bank of Tescott,12/31/10,463,84,49,15,240,41,23
Bank of Tescott,9/30/10,465,92,56,24,238,54,25
Bank of Tescott,6/30/10,463,94,56,25,237,46,25
Bank of Tescott,3/31/10,448,96,57,23,231,48,24
Bank of Tescott,12/31/09,448,89,49,17,234,59,26
Bank of Tescott,9/30/09,430,74,47,14,233,54,27
Bank of Tescott,6/30/09,412,70,46,12,230,54,27
Bank of Tescott,3/31/09,410,73,48,12,226,50,25
Bank of Tescott,12/31/08,409,75,48,12,221,57,26
Bank of Tescott,9/30/08,388,72,45,11,217,65,26
Bank of Tescott,6/30/08,387,71,45,8,214,65,26
Bank of Tescott,3/31/08,383,70,47,9,212,56,26
Bank of Tescott,12/31/07,386,70,N/A,8,223,71,25
Bank of Tescott,9/30/07,367,66,N/A,7,211,63,25
Bank of Tescott,6/30/07,363,55,N/A,5,215,54,25
Bank of Tescott,3/31/07,370,55,N/A,5,221,62,25
Bank of Tescott,12/31/06,376,60,N/A,7,224,64,26
Bank of Tescott,9/30/06,369,63,N/A,7,215,55,25
Bank of Tescott,6/30/06,371,66,N/A,8,211,57,25
Bank of Tescott,3/31/06,364,72,N/A,10,198,53,28
Bank of Tescott,12/31/05,359,71,N/A,9,197,59,30
Bank of Tescott,9/30/05,355,74,N/A,10,190,54,33
Bank of Tescott,6/30/05,355,74,N/A,10,190,49,32
Bank of Tescott,3/31/05,343,60,N/A,9,191,53,32
Bank of Tescott,12/31/04,349,65,N/A,10,189,52,35
Bank of Tescott,9/30/04,360,71,N/A,14,192,57,33
Bank of Tescott,6/30/04,361,76,N/A,17,190,57,36
Bank of Tescott,3/31/04,352,68,N/A,12,188,59,38
Bank of Tescott,12/31/03,350,77,N/A,13,182,72,38
Bank of Tescott,9/30/03,354,82,N/A,10,180,84,"4,000"
Bank of Tescott,6/30/03,354,84,N/A,10,182,69,41
Bank of Tescott,3/31/03,367,92,N/A,16,192,69,42
Bank of Tescott,12/31/02,355,92,N/A,17,185,68,43
