bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Champlain National Bank,9/30/20,505,320,232,35,185,112,85
Champlain National Bank,6/30/20,525,328,239,34,196,116,86
Champlain National Bank,3/31/20,540,335,243,29,204,65,89
Champlain National Bank,12/31/19,534,326,225,16,208,61,91
Champlain National Bank,9/30/19,542,331,227,15,210,62,92
Champlain National Bank,6/30/19,555,338,229,13,216,70,93
Champlain National Bank,3/31/19,565,339,236,30,224,81,96
Champlain National Bank,12/31/18,574,342,235,31,232,83,104
Champlain National Bank,9/30/18,564,329,221,27,234,82,98
Champlain National Bank,6/30/18,580,341,231,32,238,86,90
Champlain National Bank,3/31/18,589,349,234,30,239,90,82
Champlain National Bank,12/31/17,586,343,229,25,242,95,67
Champlain National Bank,9/30/17,578,331,213,20,245,99,51
Champlain National Bank,6/30/17,569,327,207,33,240,98,32
Champlain National Bank,3/31/17,571,332,211,42,238,89,18
Champlain National Bank,12/31/16,562,323,204,85,237,85,15
Champlain National Bank,9/30/16,542,311,192,87,229,87,13
Champlain National Bank,6/30/16,530,300,181,93,229,93,10
Champlain National Bank,3/31/16,515,289,171,98,224,98,9
Champlain National Bank,12/31/15,526,291,166,94,232,93,11
Champlain National Bank,9/30/15,526,291,161,26,233,91,11
Champlain National Bank,6/30/15,512,280,153,17,228,89,11
Champlain National Bank,3/31/15,500,277,152,22,219,86,13
Champlain National Bank,12/31/14,486,270,144,13,212,75,13
Champlain National Bank,9/30/14,484,275,143,14,205,82,14
Champlain National Bank,6/30/14,484,276,139,17,204,83,15
Champlain National Bank,3/31/14,497,284,143,17,211,78,14
Champlain National Bank,12/31/13,495,287,148,19,206,83,16
Champlain National Bank,9/30/13,487,288,203,22,197,77,18
Champlain National Bank,6/30/13,477,291,206,25,183,84,19
Champlain National Bank,3/31/13,466,293,211,28,173,80,18
Champlain National Bank,12/31/12,454,286,209,27,169,80,19
Champlain National Bank,9/30/12,458,286,195,23,172,85,20
Champlain National Bank,6/30/12,435,275,183,20,160,87,22
Champlain National Bank,3/31/12,433,274,185,17,159,84,24
Champlain National Bank,12/31/11,433,277,185,10,157,82,26
Champlain National Bank,9/30/11,427,277,180,12,150,83,27
Champlain National Bank,6/30/11,425,273,184,12,153,87,31
Champlain National Bank,3/31/11,410,272,186,15,138,96,34
Champlain National Bank,12/31/10,416,287,190,15,129,87,36
Champlain National Bank,9/30/10,410,280,190,20,130,90,39
Champlain National Bank,6/30/10,413,280,191,17,132,98,41
Champlain National Bank,3/31/10,411,282,200,17,128,99,45
Champlain National Bank,12/31/09,418,289,202,16,128,121,49
Champlain National Bank,9/30/09,408,277,188,18,131,122,52
Champlain National Bank,6/30/09,421,292,210,33,129,121,53
Champlain National Bank,3/31/09,423,295,210,37,127,102,55
Champlain National Bank,12/31/08,422,288,201,33,133,114,58
Champlain National Bank,9/30/08,407,276,185,33,130,107,62
Champlain National Bank,6/30/08,418,283,191,35,134,106,60
Champlain National Bank,3/31/08,418,284,190,35,134,90,58
Champlain National Bank,12/31/07,405,274,180,35,130,89,57
Champlain National Bank,9/30/07,390,261,166,31,127,92,56
Champlain National Bank,6/30/07,390,265,165,23,125,95,48
Champlain National Bank,3/31/07,390,267,173,33,123,91,41
Champlain National Bank,12/31/06,390,264, N/A ,32,126,86,41
Champlain National Bank,9/30/06,378,249, N/A ,20,127,87,41
Champlain National Bank,6/30/06,370,243, N/A ,9,127,91,40
Champlain National Bank,3/31/06,363,239, N/A ,19,123,86,33
Champlain National Bank,12/31/05,361,237, N/A ,26,122,90,32
Champlain National Bank,9/30/05,361,236, N/A ,23,124,94,33
Champlain National Bank,6/30/05,358,227, N/A ,34,131,90,31
Champlain National Bank,3/31/05,363,234, N/A ,33,129,93,30
Champlain National Bank,12/31/04,368,238, N/A ,34,128,98,34
Champlain National Bank,9/30/04,353,221, N/A ,23,130,91,38
Champlain National Bank,6/30/04,341,215, N/A ,23,127,94,38
Champlain National Bank,3/31/04,339,214, N/A ,26,125,85,37
Champlain National Bank,12/31/03,338,212, N/A ,25,126,91,40
Champlain National Bank,9/30/03,333,200, N/A ,25,134,85,44
Champlain National Bank,6/30/03,337,200, N/A ,25,137,90,48
Champlain National Bank,3/31/03,346,195, N/A ,24,151,94,54
Champlain National Bank,12/31/02,353,191, N/A ,15,162,93,56
