bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Cornusker Bank,9/30/20,660,438,328,85,203,14,9
Cornusker Bank,6/30/20,657,438,328,89,195,141,10
Cornusker Bank,3/31/20,678,444,334,94,207,66,9
Cornusker Bank,12/31/19,683,447,339,87,212,76,9
Cornusker Bank,9/30/19,703,457,347,91,225,76,9
Cornusker Bank,6/30/19,700,446,332,70,230,68,10
Cornusker Bank,3/31/19,716,457,339,69,237,73,10
Cornusker Bank,12/31/18,706,458,340,70,233,84,11
Cornusker Bank,9/30/18,716,462,345,68,238,73,13
Cornusker Bank,6/30/18,729,470,351,67,243,71,13
Cornusker Bank,3/31/18,748,491,371,76,24,68,14
Cornusker Bank,12/31/17,760,493,371,81,251,64,17
Cornusker Bank,9/30/17,741,478,360,80,244,65,16
Cornusker Bank,6/30/17,696,437,339,70,243,59,16
Cornusker Bank,3/31/17,710,449,351,76,244,62,17
Cornusker Bank,12/31/16,669,435,305,74,221,89,16
Cornusker Bank,9/30/16,675,437,307,66,224,90,16
Cornusker Bank,6/30/16,675,441,260,64,220,89,17
Cornusker Bank,3/31/16,656,445,278,73,200,90,17
Cornusker Bank,12/31/15,630,420,239,65,199,89,18
Cornusker Bank,9/30/15,625,422,238,74,194,92,18
Cornusker Bank,6/30/15,622,426,233,65,189,89,14
Cornusker Bank,3/31/15,633,428,243,67,195,93,13
Cornusker Bank,12/31/14,656,439,246,63,208,90,13
Cornusker Bank,9/30/14,651,439,244,61,203,92,12
Cornusker Bank,6/30/14,634,423,234,56,202,97,12
Cornusker Bank,3/31/14,640,443,251,57,188,99,12
Cornusker Bank,12/31/13,642,445,248,54,188,91,14
Cornusker Bank,9/30/13,633,444,246,55,178,84,13
Cornusker Bank,6/30/13,643,442,239,57,189,80,13
Cornusker Bank,3/31/13,629,429,223,47,188,82,13
Cornusker Bank,12/31/12,652,438,225,46,202,81,15
Cornusker Bank,9/30/12,632,434,230,41,187,87,18
Cornusker Bank,6/30/12,630,432,232,40,187,84,17
Cornusker Bank,3/31/12,644,447,242,34,185,81,16
Cornusker Bank,12/31/11,657,459,247,44,186,82,17
Cornusker Bank,9/30/11,654,453,259,59,195,83,16
Cornusker Bank,6/30/11,665,468,282,63,191,86,17
Cornusker Bank,3/31/11,675,469,277,65,200,85,18
Cornusker Bank,12/31/10,667,465,269,62,196,83,19
Cornusker Bank,9/30/10,693,490,285,59,196,88,20
Cornusker Bank,6/30/10,694,490,285,72,197,84,20
Cornusker Bank,3/31/10,712,509,296,81,192,81,18
Cornusker Bank,12/31/09,718,510,290,76,196,80,19
Cornusker Bank,9/30/09,732,529,291,82,192,86,23
Cornusker Bank,6/30/09,703,516,284,100,175,87,23
Cornusker Bank,3/31/09,659,481,261,115,167,81,22
Cornusker Bank,12/31/08,646,470,260,122,163,91,20
Cornusker Bank,9/30/08,650,481,261,122,157,90,19
Cornusker Bank,6/30/08,618,451,234,124,157,98,24
Cornusker Bank,3/31/08,566,414,203,114,143,86,21
Cornusker Bank,12/31/07,584,429,211,123,145,83,19
Cornusker Bank,9/30/07,581,428,210,120,143,84,17
Cornusker Bank,6/30/07,580,426,210,127,143,84,16
Cornusker Bank,3/31/07,620,453,231,153,156,89,18
Cornusker Bank,12/31/06,600,438,N/A,149,150,91,18
Cornusker Bank,9/30/06,582,426,N/A,146,147,91,18
Cornusker Bank,6/30/06,527,367,N/A,93,153,89,17
Cornusker Bank,3/31/06,523,351,N/A,82,162,87,20
Cornusker Bank,12/31/05,511,344,N/A,78,159,83,19
Cornusker Bank,9/30/05,511,342,N/A,76,160,83,18
Cornusker Bank,6/30/05,502,332,N/A,64,162,88,17
Cornusker Bank,3/31/05,462,333,N/A,60,121,87,19
Cornusker Bank,12/31/04,428,298,N/A,42,122,86,19
Cornusker Bank,9/30/04,419,286,N/A,41,123,82,18
Cornusker Bank,6/30/04,408,274,N/A,37,124,92,18
Cornusker Bank,3/31/04,377,252,N/A,26,116,93,29
Cornusker Bank,12/31/03,377,257,N/A,24,111,97,29
Cornusker Bank,9/30/03,396,269,N/A,42,117,103,31
Cornusker Bank,6/30/03,388,255,N/A,32,121,114,32
Cornusker Bank,3/31/03,389,253,N/A,40,124,119,36
Cornusker Bank,12/31/02,426,268,N/A,43,146,127,40
