bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
First Hope Bank,9/30/20,583,423,228,20,160,116,3
First Hope Bank,6/30/20,594,432,231,19,162,114,3
First Hope Bank,3/31/20,612,445,239,20,167,51,3
First Hope Bank,12/31/19,613,444,245,19,169,54,3
First Hope Bank,9/30/19,623,442,242,18,181,54,1
First Hope Bank,6/30/19,619,438,236,16,181,56,1
First Hope Bank,3/31/19,613,432,236,15,181,44,1
First Hope Bank,12/31/18,632,444,241,19,187,47,1
First Hope Bank,9/30/18,621,433,229,20,188,45,1
First Hope Bank,6/30/18,623,436,227,22,187,45,1
First Hope Bank,3/31/18,617,426,217,20,190,40,1
First Hope Bank,12/31/17,632,438,212,36,194,45,1
First Hope Bank,9/30/17,633,435,209,37,198,42,1
First Hope Bank,6/30/17,631,427,196,44,203,47,1
First Hope Bank,3/31/17,644,440,209,43,204,43,1
First Hope Bank,12/31/16,647,436,205,40,211,46,2
First Hope Bank,9/30/16,655,439,200,36,216,42,2
First Hope Bank,6/30/16,644,423,194,33,221,40,2
First Hope Bank,3/31/16,635,423,190,31,212,43,2
First Hope Bank,12/31/15,630,410,181,26,219,42,2
First Hope Bank,9/30/15,634,416,185,23,218,43,2
First Hope Bank,6/30/15,626,402,170,27,223,43,2
First Hope Bank,3/31/15,636,415,172,26,221,45,2
First Hope Bank,12/31/14,633,403,158,25,230,46,3
First Hope Bank,9/30/14,638,404,163,29,233,40,3
First Hope Bank,6/30/14,639,403,165,29,236,39,3
First Hope Bank,3/31/14,643,405,168,29,238,41,3
First Hope Bank,12/31/13,674,397,160,28,276,45,3
First Hope Bank,9/30/13,664,387,150,27,276,42,3
First Hope Bank,6/30/13,703,390,154,25,313,36,3
First Hope Bank,3/31/13,679,385,152,23,294,36,3
First Hope Bank,12/31/12,773,384,155,23,388,36,3
First Hope Bank,9/30/12,779,386,154,23,393,29,3
First Hope Bank,6/30/12,696,378,160,24,316,34,3
First Hope Bank,3/31/12,692,383,159,32,309,36,3
First Hope Bank,12/31/11,729,397,166,35,331,36,3
First Hope Bank,9/30/11,708,392,164,34,315,30,3
First Hope Bank,6/30/11,710,402,164,34,307,30,3
First Hope Bank,3/31/11,696,404,169,35,292,29,4
First Hope Bank,12/31/10,747,421,168,35,325,27,4
First Hope Bank,9/30/10,753,386,157,35,365,24,5
First Hope Bank,6/30/10,733,398,162,39,333,25,5
First Hope Bank,3/31/10,756,397,166,43,357,27,5
First Hope Bank,12/31/09,797,403,168,44,391,31,6
First Hope Bank,9/30/09,787,413,188,42,375,24,6
First Hope Bank,6/30/09,852,402,188,41,449,25,6
First Hope Bank,3/31/09,808,401,191,44,406,32,7
First Hope Bank,12/31/08,810,407,197,44,403,35,7
First Hope Bank,9/30/08,822,402,187,47,420,34,7
First Hope Bank,6/30/08,826,402,182,51,424,37,7
First Hope Bank,3/31/08,791,365,157,56,425,36,8
First Hope Bank,12/31/07,802,371,160,65,430,33,9
First Hope Bank,9/30/07,788,368,161,60,420,33,9
First Hope Bank,6/30/07,791,353,152,62,437,42,9
First Hope Bank,3/31/07,823,368,164,46,455,35,10
First Hope Bank,12/31/06,834,371,N/A,95,462,36,10
First Hope Bank,9/30/06,823,313,N/A,44,510,36,10
First Hope Bank,6/30/06,833,314,N/A,56,518,38,10
First Hope Bank,3/31/06,782,278,N/A,57,504,38,10
First Hope Bank,12/31/05,760,288,N/A,70,471,36,8
First Hope Bank,9/30/05,727,279,N/A,74,448,38,8
First Hope Bank,6/30/05,736,288,N/A,67,447,38,7
First Hope Bank,3/31/05,695,230,N/A,7,464,39,8
First Hope Bank,12/31/04,708,223,N/A,7,484,38,8
First Hope Bank,9/30/04,674,215,N/A,3,458,42,9
First Hope Bank,6/30/04,695,206,N/A,1,489,45,9
First Hope Bank,3/31/04,634,222,N/A,6,412,40,10
First Hope Bank,12/31/03,617,221,N/A,6,396,42,10
First Hope Bank,9/30/03,641,231,N/A,9,409,42,11
First Hope Bank,6/30/03,627,228,N/A,10,398,45,12
First Hope Bank,3/31/03,616,223,N/A,9,392,45,13
First Hope Bank,12/31/02,631,217,N/A,13,413,45,15
