bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Garrett State Bank,9/30/20,566,78,47,34,466,73,20
Garrett State Bank,6/30/20,562,90,58,46,451,70,20
Garrett State Bank,3/31/20,565,97,64,51,446,38,21
Garrett State Bank,12/31/19,594,109,64,52,461,39,23
Garrett State Bank,9/30/19,582,102,56,43,454,42,23
Garrett State Bank,6/30/19,583,99,53,37,459,45,23
Garrett State Bank,3/31/19,570,87,41,30,459,45,23
Garrett State Bank,12/31/18,575,90,44,32,462,49,25
Garrett State Bank,9/30/18,574,91,44,32,458,45,26
Garrett State Bank,6/30/18,574,90,41,30,459,46,26
Garrett State Bank,3/31/18,583,98,46,34,459,52,26
Garrett State Bank,12/31/17,604,102,38,25,477,51,26
Garrett State Bank,9/30/17,604,100,35,22,476,50,26
Garrett State Bank,6/30/17,622,102,36,24,491,50,27
Garrett State Bank,3/31/17,622,102,36,22,492,51,26
Garrett State Bank,12/31/16,614,97,36,21,491,55,26
Garrett State Bank,9/30/16,614,100,37,23,489,54,28
Garrett State Bank,6/30/16,619,92,30,16,503,54,30
Garrett State Bank,3/31/16,628,99,39,18,506,51,32
Garrett State Bank,12/31/15,631,99,38,16,507,51,32
Garrett State Bank,9/30/15,630,96,40,18,510,49,32
Garrett State Bank,6/30/15,639,96,40,18,518,50,33
Garrett State Bank,3/31/15,631,95,38,15,512,54,33
Garrett State Bank,12/31/14,638,100,42,18,515,48,34
Garrett State Bank,9/30/14,628,98,43,18,504,480,34
Garrett State Bank,6/30/14,624,101,42,17,498,48,35
Garrett State Bank,3/31/14,621,108,42,16,490,49,34
Garrett State Bank,12/31/13,640,115,45,19,505,54,34
Garrett State Bank,9/30/13,626,118,48,23,486,49,33
Garrett State Bank,6/30/13,592,106,42,15,470,59,32
Garrett State Bank,3/31/13,581,101,41,12,463,61,29
Garrett State Bank,12/31/12,594,101,42,11,471,53,29
Garrett State Bank,9/30/12,598,105,44,13,469,50,28
Garrett State Bank,6/30/12,612,107,46,14,481,48,27
Garrett State Bank,3/31/12,623,100,44,11,494,45,33
Garrett State Bank,12/31/11,640,101,50,16,510,42,28
Garrett State Bank,9/30/11,648,106,55,22,513,42,27
Garrett State Bank,6/30/11,661,102,48,12,529,40,26
Garrett State Bank,3/31/11,680,105,48,11,544,38,26
Garrett State Bank,12/31/10,699,115,56,17,555,32,26
Garrett State Bank,9/30/10,698,115,56,16,556,34,25
Garrett State Bank,6/30/10,709,120,59,16,563,36,23
Garrett State Bank,3/31/10,724,124,59,14,572,35,22
Garrett State Bank,12/31/09,741,143,79,10,586,32,23
Garrett State Bank,9/30/09,740,148,90,13,583,34,24
Garrett State Bank,6/30/09,756,145,92,10,599,33,26
Garrett State Bank,3/31/09,745,127,91,20,611,52,28
Garrett State Bank,12/31/08,757,137,101,24,616,47,26
Garrett State Bank,9/30/08,773,155,101,26,607,33,27
Garrett State Bank,6/30/08,782,171,119,26,604,32,28
Garrett State Bank,3/31/08,785,180,128,31,600,31,27
Garrett State Bank,12/31/07,790,192,167,31,590,32,28
Garrett State Bank,9/30/07,766,187,160,35,568,32,27
Garrett State Bank,6/30/07,744,187,127,34,552,33,26
Garrett State Bank,3/31/07,744,190,126,28,550,35,29
Garrett State Bank,12/31/06,779,210,N/A,31,567,39,30
Garrett State Bank,9/30/06,783,200,N/A,42,557,49,30
Garrett State Bank,6/30/06,784,200,N/A,38,559,49,30
Garrett State Bank,3/31/06,777,193,N/A,35,556,49,28
Garrett State Bank,12/31/05,779,201,N/A,45,554,44,30
Garrett State Bank,9/30/05,763,213,N/A,51,536,38,31
Garrett State Bank,6/30/05,685,125,N/A,31,541,101,33
Garrett State Bank,3/31/05,685,137,N/A,26,542,87,34
Garrett State Bank,12/31/04,702,137,N/A,22,558,87,40
Garrett State Bank,9/30/04,710,147,N/A,24,562,80,42
Garrett State Bank,6/30/04,718,140,N/A,17,577,90,42
Garrett State Bank,3/31/04,720,138,N/A,21,580,101,43
Garrett State Bank,12/31/03,729,150,N/A,23,588,78,43
Garrett State Bank,9/30/03,715,117,N/A,16,583,68,43
Garrett State Bank,6/30/03,727,123,N/A,16,591,81,44
Garrett State Bank,3/31/03,708,127,N/A,18,569,87,43
Garrett State Bank,12/31/02,693,134,N/A,24,547,82,43
