bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Rock Canyon Bank,9/30/20,565,388,226,90,100,196,2
Rock Canyon Bank,6/30/20,582,426,251,107,82,175,2
Rock Canyon Bank,3/31/20,611,449,250,123,77,98,2
Rock Canyon Bank,12/31/19,627,449,257,126,93,90,2
Rock Canyon Bank,9/30/19,598,438,243,106,79,103,2
Rock Canyon Bank,6/30/19,590,432,223,98,84,112,2
Rock Canyon Bank,3/31/19,594,448,235,109,71,122,2
Rock Canyon Bank,12/31/18,579,420,223,117,72,123,2
Rock Canyon Bank,9/30/18,549,392,189,102,84,130,2
Rock Canyon Bank,6/30/18,555,404,198,102,86,132,2
Rock Canyon Bank,3/31/18,568,411,193,85,95,141,3
Rock Canyon Bank,12/31/17,610,443,208,85,101,149,3
Rock Canyon Bank,9/30/17,664,489,237,113,108,133,4
Rock Canyon Bank,6/30/17,659,474,230,105,103,131,4
Rock Canyon Bank,3/31/17,640,458,215,104,96,128,4
Rock Canyon Bank,12/31/16,634,461,224,110,94,121,3
Rock Canyon Bank,9/30/16,620,449,220,106,93,107,4
Rock Canyon Bank,6/30/16,575,410,204,94,98,103,4
Rock Canyon Bank,3/31/16,605,438,231,119,106,102,4
Rock Canyon Bank,12/31/15,639,476,258,136,108,108,4
Rock Canyon Bank,9/30/15,650,476,264,146,116,102,5
Rock Canyon Bank,6/30/15,660,470,257,133,126,97,6
Rock Canyon Bank,3/31/15,649,462,263,145,123,91,5
Rock Canyon Bank,12/31/14,606,439,240,145,114,81,6
Rock Canyon Bank,9/30/14,561,390,203,115,114,75,6
Rock Canyon Bank,6/30/14,514,354,195,110,103,78,6
Rock Canyon Bank,3/31/14,490,338,190,107,94,68,5
Rock Canyon Bank,12/31/13,505,346,199,113,91,68,6
Rock Canyon Bank,9/30/13,468,323,177,98,88,73,6
Rock Canyon Bank,6/30/13,499,334,184,97,102,74,6
Rock Canyon Bank,3/31/13,531,348,181,88,103,74,6
Rock Canyon Bank,12/31/12,544,386,194,91,109,79,7
Rock Canyon Bank,9/30/12,544,391,193,91,108,80,8
Rock Canyon Bank,6/30/12,575,418,206,104,107,75,8
Rock Canyon Bank,3/31/12,562,413,193,94,96,72,10
Rock Canyon Bank,12/31/11,554,417,227,115,100,75,11
Rock Canyon Bank,9/30/11,480,360,202,115,102,56,12
Rock Canyon Bank,6/30/11,461,342,187,100,102,35,12
Rock Canyon Bank,3/31/11,452,328,185,108,105,28,12
Rock Canyon Bank,12/31/10,471,339,197,128,117,25,13
Rock Canyon Bank,9/30/10,446,325,188,123,112,24,12
Rock Canyon Bank,6/30/10,420,303,179,124,110,20,14
Rock Canyon Bank,3/31/10,960,675,402,277,262,52,26
Rock Canyon Bank,12/31/09,791,572,338,253,204,45,22
Rock Canyon Bank,9/30/09,765,549,340,259,202,48,21
Rock Canyon Bank,6/30/09,850,629,407,320,206,52,21
Rock Canyon Bank,3/31/09,749,574,362,300,164,44,19
Rock Canyon Bank,12/31/08,660,543,362,305,105,41,17
Rock Canyon Bank,9/30/08,710,597,419,371,105,49,19
Rock Canyon Bank,6/30/08,746,637,449,412,100,51,20
Rock Canyon Bank,3/31/08,779,689,507,459,71,69,23
Rock Canyon Bank,12/31/07,742,660,469,436,70,60,24
Rock Canyon Bank,9/30/07,728,640,443,416,79,63,24
Rock Canyon Bank,6/30/07,756,663,462,423,84,68,26
Rock Canyon Bank,3/31/07,767,682,510,453,75,68,28
Rock Canyon Bank,12/31/06,809,729,N/A,476,78,70,29
Rock Canyon Bank,9/30/06,808,722,N/A,460,86,74,31
Rock Canyon Bank,6/30/06,700,625,N/A,364,75,81,32
Rock Canyon Bank,3/31/06,705,622,N/A,359,72,80,34
Rock Canyon Bank,12/31/05,669,590,N/A,339,74,81,37
Rock Canyon Bank,9/30/05,620,546,N/A,301,73,82,39
Rock Canyon Bank,6/30/05,643,554,N/A,306,84,87,40
Rock Canyon Bank,3/31/05,652,543,N/A,299,96,84,42
Rock Canyon Bank,12/31/04,634,536,N/A,295,93,87,46
Rock Canyon Bank,9/30/04,678,579,N/A,318,96,93,44
Rock Canyon Bank,6/30/04,664,567,N/A,292,89,100,44
Rock Canyon Bank,3/31/04,663,557,N/A,280,99,96,47
Rock Canyon Bank,12/31/03,651,532,N/A,266,107,96,48
Rock Canyon Bank,9/30/03,643,509,N/A,257,127,96,51
Rock Canyon Bank,6/30/03,604,479,N/A,218,111,97,56
Rock Canyon Bank,3/31/03,603,466,N/A,220,124,89,58
Rock Canyon Bank,12/31/02,631,479,N/A,237,140,104,58
