bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Sunstate Bank,9/30/20,488,205,188,27,282,53,2
Sunstate Bank,6/30/20,494,206,187,29,286,50,3
Sunstate Bank,3/31/20,504,218,197,37,285,7,4
Sunstate Bank,12/31/19,502,218,199,36,283,8,5
Sunstate Bank,9/30/19,535,229,207,38,305,9,4
Sunstate Bank,6/30/19,538,236,216,27,301,11,5
Sunstate Bank,3/31/19,567,253,231,28,313,13,5
Sunstate Bank,12/31/18,618,281,253,39,336,13,5
Sunstate Bank,9/30/18,660,313,282,52,346,14,5
Sunstate Bank,6/30/18,606,236,219,70,369,6,3
Sunstate Bank,3/31/18,621,263,245,69,356,12,3
Sunstate Bank,12/31/17,590,247,225,58,341,14,3
Sunstate Bank,9/30/17,576,235,213,50,339,13,2
Sunstate Bank,6/30/17,568,231,208,43,335,15,2
Sunstate Bank,3/31/17,514,241,219,23,271,8,1
Sunstate Bank,12/31/16,495,249,227,19,243,8,1
Sunstate Bank,9/30/16,474,236,213,19,236,8,0
Sunstate Bank,6/30/16,396,212,184,17,181,9,1
Sunstate Bank,3/31/16,384,199,171,5,183,9,1
Sunstate Bank,12/31/15,405,216,174,2,186,10,1
Sunstate Bank,9/30/15,394,206,160,6,186,12,1
Sunstate Bank,6/30/15,344,190,148,6,151,13,1
Sunstate Bank,3/31/15,344,198,155,5,143,14,1
Sunstate Bank,12/31/14,374,220,169,4,151,19,1
Sunstate Bank,9/30/14,350,194,142,4,154,22,3
Sunstate Bank,6/30/14,319,171,120,2,146,22,3
Sunstate Bank,3/31/14,298,157,107,0,138,38,3
Sunstate Bank,12/31/13,311,162,106,0,147,32,3
Sunstate Bank,9/30/13,307,148,90,0,157,26,3
Sunstate Bank,6/30/13,322,160,98,0,159,27,3
Sunstate Bank,3/31/13,346,177,116,0,166,28,3
Sunstate Bank,12/31/12,372,182,115,0,187,34,3
Sunstate Bank,9/30/12,380,179,106,0,198,36,3
Sunstate Bank,6/30/12,398,193,112,1,203,37,4
Sunstate Bank,3/31/12,418,183,98,0,232,40,4
Sunstate Bank,12/31/11,423,199,102,6,220,45,3
Sunstate Bank,9/30/11,406,208,120,11,195,43,3
Sunstate Bank,6/30/11,420,256,147,43,160,43,3
Sunstate Bank,3/31/11,379,257,151,49,119,55,3
Sunstate Bank,12/31/10,374,255,141,43,116,58,5
Sunstate Bank,9/30/10,397,268,149,43,126,60,4
Sunstate Bank,6/30/10,434,298,167,46,136,69,3
Sunstate Bank,3/31/10,406,287,160,50,119,62,3
Sunstate Bank,12/31/09,432,297,175,53,132,62,3
Sunstate Bank,9/30/09,400,291,192,41,119,57,3
Sunstate Bank,6/30/09,416,304,203,44,127,59,3
Sunstate Bank,3/31/09,404,342,226,50,121,63,2
Sunstate Bank,12/31/08,412,347,263,46,126,64,2
Sunstate Bank,9/30/08,421,359,277,53,117,60,2
Sunstate Bank,6/30/08,404,350,273,46,111,58,4
Sunstate Bank,3/31/08,368,324,246,41,100,58,4
Sunstate Bank,12/31/07,372,306,228,32,110,56,4
Sunstate Bank,9/30/07,372,306,218,30,111,51,2
Sunstate Bank,6/30/07,274,231,163,15,58,57,2
Sunstate Bank,3/31/07,292,248,195,37,59,39,2
Sunstate Bank,12/31/06,263,207,N/A,34,51,30,2
Sunstate Bank,9/30/06,267,208,N/A,29,54,30,2
Sunstate Bank,6/30/06,268,205,N/A,24,58,32,2
Sunstate Bank,3/31/06,247,180,N/A,31,62,25,3
Sunstate Bank,12/31/05,251,184,N/A,27,63,27,2
Sunstate Bank,9/30/05,218,148,N/A,18,67,29,2
Sunstate Bank,6/30/05,213,135,N/A,28,75,29,3
Sunstate Bank,3/31/05,187,105,N/A,12,78,31,2
Sunstate Bank,12/31/04,191,107,N/A,12,81,28,2
Sunstate Bank,9/30/04,221,118,N/A,15,99,37,3
Sunstate Bank,6/30/04,183,107,N/A,24,71,32,3
Sunstate Bank,3/31/04,180,102,N/A,20,74,32,3
Sunstate Bank,12/31/03,177,104,N/A,16,73,33,4
Sunstate Bank,9/30/03,201,117,N/A,15,84,44,4
Sunstate Bank,6/30/03,149,118,N/A,15,30,52,3
Sunstate Bank,3/31/03,168,144,N/A,13,24,64,4
Sunstate Bank,12/31/02,210,180,N/A,6,31,81,6
