bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
First National Bank of the South,6/30/10,1458,1022,840,300,499,78,14
First National Bank of the South,3/31/10,1296,921,761,295,427,66,13
First National Bank of the South,12/31/09,1152,798,648,272,370,73,15
First National Bank of the South,9/30/09,1037,721,591,276,330,65,12
First National Bank of the South,6/30/09,933,655,558,313,292,63,11
First National Bank of the South,3/31/09,784,558,472,270,237,55,9
First National Bank of the South,12/31/08,788,567,478,289,234,58,11
First National Bank of the South,9/30/08,748,549,464,287,212,59,10
First National Bank of the South,6/30/08,763,562,467,299,217,65,10
First National Bank of the South,3/31/08,767,560,461,293,217,70,10
First National Bank of the South,12/31/07,870,633,513,357,254,66,12
First National Bank of the South,9/30/07,862,603,552,330,279,66,13
First National Bank of the South,6/30/07,847,598,594,310,268,72,13
First National Bank of the South,3/31/07,799,589,589,308,231,63,14
First National Bank of the South,12/31/06,895,697,N/A,375,221,66,17
First National Bank of the South,9/30/06,830,614,N/A,283,219,66,18
First National Bank of the South,6/30/06,816,587,N/A,252,236,62,19
First National Bank of the South,3/31/06,745,555,N/A,206,222,69,21
First National Bank of the South,12/31/05,844,610,N/A,193,268,79,23
First National Bank of the South,9/30/05,868,621,N/A,204,296,89,23
First National Bank of the South,6/30/05,863,573,N/A,81,289,89,23
First National Bank of the South,3/31/05,837,545,N/A,142,291,93,23
First National Bank of the South,12/31/04,769,489,N/A,111,279,95,23
First National Bank of the South,9/30/04,553,305,N/A,76,272,276,25
First National Bank of the South,6/30/04,575,343,N/A,57,256,215,27
First National Bank of the South,3/31/04,657,415,N/A,61,270,190,33
First National Bank of the South,12/31/03,634,390,N/A,57,270,157,34
First National Bank of the South,9/30/03,738,494,N/A,58,295,189,43
First National Bank of the South,6/30/03,712,469,N/A,49,291,179,42
First National Bank of the South,3/31/03,706,452,N/A,48,299,166,40
First National Bank of the South,12/31/02,641,399,N/A,53,279,140,43
