bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Haven Trust Bank,9/30/08,1268,1160,622,386,108,94,12
Haven Trust Bank,6/30/08,1021,918,525,312,103,109,10
Haven Trust Bank,3/31/08,779,572,522,480,207,254,10
Haven Trust Bank,12/31/07,757,539,489,451,218,264,14
Haven Trust Bank,9/30/07,697,498,452,411,199,235,13
Haven Trust Bank,6/30/07,670,474,448,422,196,197,13
Haven Trust Bank,3/31/07,670,474,450,427,197,176,13
Haven Trust Bank,12/31/06,649,464,N/A,415,185,203,13
Haven Trust Bank,9/30/06,790,575,N/A,519,215,255,16
Haven Trust Bank,6/30/06,716,537,N/A,499,180,240,19
Haven Trust Bank,3/31/06,709,543,N/A,509,166,236,17
Haven Trust Bank,12/31/05,622,487,N/A,460,135,247,17
Haven Trust Bank,9/30/05,728,601,N/A,573,126,176,17
Haven Trust Bank,6/30/05,834,709,N/A,686,125,169,23
Haven Trust Bank,3/31/05,852,711,N/A,681,140,165,23
Haven Trust Bank,12/31/04,678,588,N/A,568,90,149,24
Haven Trust Bank,9/30/04,757,658,N/A,620,99,192,26
Haven Trust Bank,6/30/04,719,623,N/A,584,96,190,24
Haven Trust Bank,3/31/04,773,675,N/A,613,98,204,32
Haven Trust Bank,12/31/03,784,683,N/A,626,101,208,20
Haven Trust Bank,9/30/03,685,601,N/A,520,84,204,19
Haven Trust Bank,6/30/03,652,577,N/A,493,75,180,20
Haven Trust Bank,3/31/03,666,549,N/A,464,116,239,20
Haven Trust Bank,12/31/02,625,477,N/A,410,148,231,21
