,bank_name,6/30/10,3/31/10,12/31/09,9/30/09,6/30/09,3/31/09,12/31/08,9/30/08,6/30/08,3/31/08,12/31/07,9/30/07,6/30/07,3/31/07,12/31/06,9/30/06,6/30/06,3/31/06,12/31/05,9/30/05,6/30/05,3/31/05,12/31/04,9/30/04,6/30/04,3/31/04,12/31/03,9/30/03,6/30/03,3/31/03
Concentration in RE,LibertyBank,1309%,954%,902%,848%,777%,655%,625%,649%,667%,679%,693%,710%,730%,747%,757%,756%,756%,756%,754%,743%,773%,718%,720%,711%,720%,730%,759%,779%,792%,806%
Concentration in Commercial RE,LibertyBank,1199%,878%,829%,799%,741%,630%,603%,633%,657%,667%,683%,701%,721%,741%,753%,743%,744%,744%,738%,727%,756%,700%,701%,688%,698%,705%,738%,751%,760%,770%
Concentration in Commercial RE NOO,LibertyBank,944%,669%,649%,636%,598%,513%,497%,527%,553%,547%,557%,588%,605%,621%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Concentration in Construction & Development,LibertyBank,116%,125%,139%,149%,192%,197%,216%,249%,280%,290%,308%,329%,347%,340%,334%,322%,310%,276%,252%,253%,257%,224%,222%,213%,193%,182%,201%,180%,171%,163%
Concentration in 1-4 Family,LibertyBank,117%,81%,78%,67%,50%,37%,29%,25%,19%,20%,18%,18%,18%,15%,16%,15%,15%,15%,19%,20%,21%,23%,25%,28%,28%,32%,32%,36%,42%,47%
Concentration in Commercial & Industrial,LibertyBank,365%,277%,282%,280%,252%,209%,195%,200%,198%,199%,200%,202%,205%,206%,202%,190%,115%,121%,118%,114%,105%,101%,100%,92%,85%,85%,85%,82%,85%,89%
Concentration in Individual Loans,LibertyBank,21%,16%,16%,17%,16%,12%,12%,12%,13%,13%,13%,13%,10%,10%,10%,11%,11%,11%,12%,13%,14%,15%,16%,18%,19%,20%,21%,24%,28%,30%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
