bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Bank of Clark County,9/30/08,676,580,471,311,96,174,13
Bank of Clark County,6/30/08,677,588,476,341,88,176,14
Bank of Clark County,3/31/08,693,613,499,364,80,186,15
Bank of Clark County,12/31/07,673,601,485,347,72,183,18
Bank of Clark County,9/30/07,679,620,499,359,59,184,20
Bank of Clark County,6/30/07,669,624,499,362,45,199,20
Bank of Clark County,3/31/07,640,599,515,348,41,197,20
Bank of Clark County,12/31/06,656,612,N/A,349,43,168,18
Bank of Clark County,9/30/06,645,597,N/A,321,48,171,20
Bank of Clark County,6/30/06,661,601,N/A,309,60,183,11
Bank of Clark County,3/31/06,670,607,N/A,306,63,187,11
Bank of Clark County,12/31/05,699,625,N/A,308,74,189,14
Bank of Clark County,9/30/05,667,596,N/A,268,72,205,15
Bank of Clark County,6/30/05,641,591,N/A,233,49,210,20
Bank of Clark County,3/31/05,637,587,N/A,250,50,190,18
Bank of Clark County,12/31/04,596,542,N/A,184,55,196,21
Bank of Clark County,9/30/04,606,549,N/A,172,57,185,21
Bank of Clark County,6/30/04,591,543,N/A,166,48,212,18
Bank of Clark County,3/31/04,563,528,N/A,151,35,190,26
Bank of Clark County,12/31/03,631,588,N/A,156,43,216,26
Bank of Clark County,9/30/03,638,618,N/A,111,19,268,24
Bank of Clark County,6/30/03,624,600,N/A,96,23,308,11
Bank of Clark County,3/31/03,634,608,N/A,96,25,325,14
Bank of Clark County,12/31/02,608,580,N/A,97,26,347,14
