bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
1st Centennial Bank,9/30/08,539,523,424,361,27,326,15
1st Centennial Bank,6/30/08,533,519,438,378,23,311,14
1st Centennial Bank,3/31/08,528,517,443,383,17,299,16
1st Centennial Bank,12/31/07,521,505,432,380,15,280,15
1st Centennial Bank,9/30/07,501,484,415,361,16,286,13
1st Centennial Bank,6/30/07,477,460,387,329,16,294,13
1st Centennial Bank,3/31/07,448,432,366,305,16,270,12
1st Centennial Bank,12/31/06,439,422,N/A,293,17,272,10
1st Centennial Bank,9/30/06,445,427,N/A,290,18,288,9
1st Centennial Bank,6/30/06,459,441,N/A,297,18,280,9
1st Centennial Bank,3/31/06,472,448,N/A,287,23,264,8
1st Centennial Bank,12/31/05,457,434,N/A,269,22,296,7
1st Centennial Bank,9/30/05,508,485,N/A,297,22,275,7
1st Centennial Bank,6/30/05,580,552,N/A,335,28,296,5
1st Centennial Bank,3/31/05,559,531,N/A,323,27,288,4
1st Centennial Bank,12/31/04,541,522,N/A,322,18,263,7
1st Centennial Bank,9/30/04,604,584,N/A,365,20,226,8
1st Centennial Bank,6/30/04,700,672,N/A,401,28,223,9
1st Centennial Bank,3/31/04,621,586,N/A,350,34,175,10
1st Centennial Bank,12/31/03,555,515,N/A,269,39,160,11
1st Centennial Bank,9/30/03,481,440,N/A,232,41,153,11
1st Centennial Bank,6/30/03,476,429,N/A,246,46,184,11
1st Centennial Bank,3/31/03,660,557,N/A,330,102,156,13
1st Centennial Bank,12/31/02,613,499,N/A,292,113,153,15
