bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
First Georgia Community Bank,9/30/08,613,540,441,382,67,39,10
First Georgia Community Bank,6/30/08,651,585,480,420,62,43,5
First Georgia Community Bank,3/31/08,672,608,507,426,59,40,5
First Georgia Community Bank,12/31/07,662,605,505,426,51,33,5
First Georgia Community Bank,9/30/07,717,663,544,462,49,35,6
First Georgia Community Bank,6/30/07,771,718,579,483,49,28,8
First Georgia Community Bank,3/31/07,743,684,477,420,56,48,9
First Georgia Community Bank,12/31/06,765,706,N/A,444,55,52,11
First Georgia Community Bank,9/30/06,758,702,N/A,438,52,44,12
First Georgia Community Bank,6/30/06,737,678,N/A,399,55,45,14
First Georgia Community Bank,3/31/06,692,627,N/A,334,61,59,12
First Georgia Community Bank,12/31/05,742,674,N/A,404,64,62,11
First Georgia Community Bank,9/30/05,782,711,N/A,431,67,68,9
First Georgia Community Bank,6/30/05,785,720,N/A,398,60,79,9
First Georgia Community Bank,3/31/05,766,706,N/A,352,60,80,9
First Georgia Community Bank,12/31/04,739,675,N/A,303,64,60,12
First Georgia Community Bank,9/30/04,749,673,N/A,257,76,54,19
First Georgia Community Bank,6/30/04,689,616,N/A,176,73,82,16
First Georgia Community Bank,3/31/04,643,560,N/A,103,83,90,15
First Georgia Community Bank,12/31/03,636,563,N/A,98,73,78,15
First Georgia Community Bank,9/30/03,659,581,N/A,125,78,74,14
First Georgia Community Bank,6/30/03,676,589,N/A,113,87,74,17
First Georgia Community Bank,3/31/03,672,584,N/A,114,88,79,19
First Georgia Community Bank,12/31/02,657,551,N/A,144,105,80,20
