bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
First National Bank,3/31/10,1281,918,827,522,337,48,4
First National Bank,12/31/09,1180,846,763,496,307,56,4
First National Bank,9/30/09,786,563,510,348,205,41,3
First National Bank,6/30/09,640,475,448,311,152,36,3
First National Bank,3/31/09,625,482,453,314,138,44,3
First National Bank,12/31/08,608,471,451,210,132,40,3
First National Bank,9/30/08,642,507,486,372,126,40,3
First National Bank,6/30/08,655,526,507,374,119,34,4
First National Bank,3/31/08,656,526,507,369,120,28,4
First National Bank,12/31/07,626,508,479,368,104,32,5
First National Bank,9/30/07,623,495,464,351,115,26,6
First National Bank,6/30/07,619,502,467,349,100,39,6
First National Bank,3/31/07,506,408,387,291,86,108,6
First National Bank,12/31/06,473,359,N/A,261,101,108,6
First National Bank,9/30/06,572,444,N/A,327,115,123,6
First National Bank,6/30/06,667,515,N/A,393,140,81,6
First National Bank,3/31/06,553,427,N/A,295,121,52,4
First National Bank,12/31/05,526,392,N/A,276,130,44,3
First National Bank,9/30/05,515,363,N/A,175,152,39,9
First National Bank,6/30/05,556,401,N/A,170,156,46,12
First National Bank,3/31/05,497,354,N/A,150,143,47,10
First National Bank,12/31/04,422,275,N/A,122,147,62,10
First National Bank,9/30/04,637,403,N/A,191,228,109,26
First National Bank,6/30/04,502,309,N/A,182,187,185,29
First National Bank,3/31/04,474,273,N/A,173,193,170,31
First National Bank,12/31/03,544,312,N/A,200,223,177,36
First National Bank,9/30/03,617,345,N/A,231,262,153,42
First National Bank,6/30/03,622,338,N/A,210,273,156,32
First National Bank,3/31/03,559,308,N/A,178,235,132,32
First National Bank,12/31/02,491,264,N/A,137,209,92,35
