bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Firstbank Financial Services,9/30/08,679,572,533,465,109,64,6
Firstbank Financial Services,6/30/08,665,575,536,495,89,69,5
Firstbank Financial Services,3/31/08,639,589,543,501,49,46,5
Firstbank Financial Services,12/31/07,631,593,552,510,38,48,6
Firstbank Financial Services,9/30/07,680,642,585,556,38,61,6
Firstbank Financial Services,6/30/07,672,643,583,549,26,66,5
Firstbank Financial Services,3/31/07,659,626,559,525,32,66,6
Firstbank Financial Services,12/31/06,622,595,N/A,477,26,57,11
Firstbank Financial Services,9/30/06,580,556,N/A,454,23,77,9
Firstbank Financial Services,6/30/06,565,542,N/A,432,23,79,8
Firstbank Financial Services,3/31/06,545,520,N/A,403,25,56,6
Firstbank Financial Services,12/31/05,549,520,N/A,398,28,67,6
Firstbank Financial Services,9/30/05,537,507,N/A,381,29,67,7
Firstbank Financial Services,6/30/05,564,531,N/A,393,32,57,6
Firstbank Financial Services,3/31/05,529,501,N/A,356,28,60,5
Firstbank Financial Services,12/31/04,487,460,N/A,307,27,60,7
Firstbank Financial Services,9/30/04,446,436,N/A,199,10,49,7
Firstbank Financial Services,6/30/04,410,403,N/A,181,8,42,7
Firstbank Financial Services,3/31/04,487,460,N/A,307,27,60,7
Firstbank Financial Services,12/31/03,617,605,N/A,353,12,54,15
Firstbank Financial Services,9/30/03,641,626,N/A,421,15,81,12
Firstbank Financial Services,6/30/03,613,594,N/A,354,19,84,13
Firstbank Financial Services,3/31/03,497,480,N/A,257,17,53,11
Firstbank Financial Services,12/31/02,389,383,N/A,206,7,21,8
