bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Liberty Bank,6/30/10,1309,1199,944,116,117,365,21
Liberty Bank,3/31/10,954,878,669,125,81,277,16
Liberty Bank,12/31/09,902,829,649,139,78,282,16
Liberty Bank,9/30/09,848,799,636,149,67,280,17
Liberty Bank,6/30/09,777,741,598,192,50,252,16
Liberty Bank,3/31/09,655,630,513,197,37,209,12
Liberty Bank,12/31/08,625,603,497,216,29,195,12
Liberty Bank,9/30/08,649,633,527,249,25,200,12
Liberty Bank,6/30/08,667,657,553,280,19,198,13
Liberty Bank,3/31/08,679,667,547,290,20,199,13
Liberty Bank,12/31/07,693,683,557,308,18,200,13
Liberty Bank,9/30/07,710,701,588,329,18,202,13
Liberty Bank,6/30/07,730,721,605,347,18,205,10
Liberty Bank,3/31/07,747,741,621,340,15,206,10
Liberty Bank,12/31/06,757,753,N/A,334,16,202,10
Liberty Bank,9/30/06,756,743,N/A,322,15,190,11
Liberty Bank,6/30/06,756,744,N/A,310,15,115,11
Liberty Bank,3/31/06,756,744,N/A,276,15,121,11
Liberty Bank,12/31/05,754,738,N/A,252,19,118,12
Liberty Bank,9/30/05,743,727,N/A,253,20,114,13
Liberty Bank,6/30/05,773,756,N/A,257,21,105,14
Liberty Bank,3/31/05,718,700,N/A,224,23,101,15
Liberty Bank,12/31/04,720,701,N/A,222,25,100,16
Liberty Bank,9/30/04,711,688,N/A,213,28,92,18
Liberty Bank,6/30/04,720,698,N/A,193,28,85,19
Liberty Bank,3/31/04,730,705,N/A,182,32,85,20
Liberty Bank,12/31/03,759,738,N/A,201,32,85,21
Liberty Bank,9/30/03,779,751,N/A,180,36,82,24
Liberty Bank,6/30/03,792,760,N/A,171,42,85,28
Liberty Bank,3/31/03,806,770,N/A,163,47,89,30
