bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Peninsula Bank,3/31/10,1550,1348,1100,657,137,257,8
Peninsula Bank,12/31/09,1782,1577,1343,831,141,309,11
Peninsula Bank,9/30/09,795,709,616,388,63,111,6
Peninsula Bank,6/30/09,796,690,582,374,78,88,16
Peninsula Bank,3/31/09,685,618,529,357,43,75,14
Peninsula Bank,12/31/08,662,602,522,329,39,75,8
Peninsula Bank,9/30/08,604,565,489,317,22,58,12
Peninsula Bank,6/30/08,581,544,467,314,20,61,12
Peninsula Bank,3/31/08,624,586,503,345,26,58,11
Peninsula Bank,12/31/07,626,579,562,344,21,62,10
Peninsula Bank,9/30/07,682,610,593,343,28,56,5
Peninsula Bank,6/30/07,692,613,596,344,28,37,6
Peninsula Bank,3/31/07,745,658,645,372,37,20,7
Peninsula Bank,12/31/06,781,690,N/A,152,41,23,6
Peninsula Bank,9/30/06,993,902,N/A,222,51,39,10
Peninsula Bank,6/30/06,960,884,N/A,208,49,44,11
Peninsula Bank,3/31/06,881,810,N/A,181,52,46,15
Peninsula Bank,12/31/05,861,797,N/A,175,43,48,12
Peninsula Bank,9/30/05,864,811,N/A,180,31,44,8
Peninsula Bank,6/30/05,753,724,N/A,152,28,45,6
Peninsula Bank,3/31/05,701,677,N/A,139,24,48,8
Peninsula Bank,12/31/04,711,687,N/A,144,24,52,6
Peninsula Bank,9/30/04,651,635,N/A,163,16,55,10
Peninsula Bank,6/30/04,640,625,N/A,160,16,59,12
Peninsula Bank,3/31/04,641,616,N/A,164,20,62,10
Peninsula Bank,12/31/03,631,603,N/A,162,22,64,12
Peninsula Bank,9/30/03,636,606,N/A,146,25,73,6
Peninsula Bank,6/30/03,619,590,N/A,146,23,77,8
Peninsula Bank,3/31/03,595,558,N/A,128,29,64,8
Peninsula Bank,12/31/02,590,554,N/A,95,29,73,6
