bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Security Pacific Bank,9/30/08,804,822,789,293,0,347,0
Security Pacific Bank,6/30/08,537,549,527,244,0,246,0
Security Pacific Bank,3/31/08,563,580,470,282,0,225,0
Security Pacific Bank,12/31/07,403,403,396,258,0,349,0
Security Pacific Bank,9/30/07,490,490,459,286,0,269,0
Security Pacific Bank,6/30/07,522,522,490,304,0,208,0
Security Pacific Bank,3/31/07,548,548,548,304,0,165,0
Security Pacific Bank,12/31/06,509,509,N/A,265,0,133,0
Security Pacific Bank,9/30/06,568,568,N/A,281,0,124,0
Security Pacific Bank,6/30/06,625,625,N/A,295,0,104,0
Security Pacific Bank,3/31/06,694,689,N/A,293,5,85,0
Security Pacific Bank,12/31/05,727,717,N/A,305,9,76,0
Security Pacific Bank,9/30/05,747,737,N/A,277,9,47,0
Security Pacific Bank,6/30/05,713,712,N/A,251,0,55,0
Security Pacific Bank,3/31/05,703,703,N/A,255,0,51,0
Security Pacific Bank,12/31/04,678,678,N/A,244,0,42,0
Security Pacific Bank,9/30/04,652,648,N/A,254,4,45,1
Security Pacific Bank,6/30/04,653,646,N/A,265,7,56,1
Security Pacific Bank,3/31/04,656,652,N/A,240,4,57,1
Security Pacific Bank,12/31/03,602,599,N/A,142,3,65,1
Security Pacific Bank,9/30/03,501,493,N/A,66,8,81,2
Security Pacific Bank,6/30/03,548,539,N/A,38,9,56,3
Security Pacific Bank,3/31/03,538,521,N/A,39,17,80,5
Security Pacific Bank,12/31/02,588,568,N/A,25,20,110,6
