bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Community South Bank,6/30/13,2423,2008,1235,140,364,152,62
Community South Bank,3/31/13,1566,1314,847,113,222,100,39
Community South Bank,12/31/12,1518,1266,805,115,224,102,40
Community South Bank,9/30/12,1543,1284,793,139,232,151,41
Community South Bank,6/30/12,1277,1059,651,114,196,147,34
Community South Bank,3/31/12,1202,1001,616,112,181,129,32
Community South Bank,12/31/11,1337,1121,683,138,205,162,35
Community South Bank,9/30/11,1082,904,548,113,170,140,28
Community South Bank,6/30/11,1071,887,521,108,176,126,28
Community South Bank,3/31/11,1181,1001,602,121,172,131,29
Community South Bank,12/31/10,1181,979,588,125,195,109,30
Community South Bank,9/30/10,795,660,395,88,130,72,20
Community South Bank,6/30/10,791,661,405,83,126,62,18
Community South Bank,3/31/10,901,754,477,99,143,52,20
Community South Bank,12/31/09,958,795,501,106,157,44,24
Community South Bank,9/30/09,913,764,489,105,145,47,22
Community South Bank,6/30/09,987,827,527,141,155,34,22
Community South Bank,3/31/09,1109,933,598,191,172,36,24
Community South Bank,12/31/08,1167,976,640,223,187,38,24
Community South Bank,9/30/08,1053,871,567,197,177,36,24
Community South Bank,6/30/08,1011,836,559,210,169,38,33
Community South Bank,3/31/08,983,810,538,200,166,34,33
Community South Bank,12/31/07,899,748,132,96,144,57,33
Community South Bank,9/30/07,938,777,148,108,153,63,37
Community South Bank,6/30/07,932,781,726,93,142,54,26
Community South Bank,3/31/07,781,630,575,89,143,49,26
Community South Bank,12/31/06,741,56600%,N/A,73,166,40,33
Community South Bank,9/30/06,678,51500%,N/A,59,154,46,33
Community South Bank,6/30/06,721,55400%,N/A,49,157,53,36
Community South Bank,3/31/06,617,46600%,N/A,37,140,51,35
Community South Bank,12/31/05,559,38700%,N/A,46,160,60,39
Community South Bank,9/30/05,539,36300%,N/A,49,164,62,41
Community South Bank,6/30/05,651,45000%,N/A,57,186,76,48
Community South Bank,3/31/05,577,37600%,N/A,71,186,69,52
Community South Bank,12/31/04,488,27600%,N/A,75,196,75,58
Community South Bank,9/30/04,493,26900%,N/A,78,207,94,66
Community South Bank,6/30/04,459,24100%,N/A,71,199,90,71
Community South Bank,3/31/04,425,21200%,N/A,62,196,95,71
Community South Bank,12/31/03,407,19000%,N/A,54,200,99,73
Community South Bank,9/30/03,398,17100%,N/A,46,208,97,77
Community South Bank,6/30/03,381,15400%,N/A,37,212,99,82
Community South Bank,3/31/03,374,14200%,N/A,24,217,89,87
Community South Bank,12/31/02,382,13800%,N/A,16,226,80,98
