bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Mountain National Bank,3/31/13," 1,157 ", 752 , 598 , 154 , 408 , 91 , 16 
Mountain National Bank,12/31/12," 1,106 ", 722 , 597 , 164 , 389 , 108 , 16 
Mountain National Bank,9/30/12, 945 , 606 , 498 , 156 , 344 , 83 , 15 
Mountain National Bank,6/30/12, 944 , 612 , 507 , 174 , 336 , 81 , 13 
Mountain National Bank,3/31/12," 1,050 ", 701 , 582 , 207 , 353 , 102 , 19 
Mountain National Bank,12/31/11," 1,087 ", 721 , 604 , 219 , 371 , 106 , 16 
Mountain National Bank,9/30/11, 841 , 558 , 472 , 179 , 288 , 66 , 13 
Mountain National Bank,6/30/11, 813 , 539 , 452 , 179 , 279 , 63 , 13 
Mountain National Bank,3/31/11, 593 , 391 , 328 , 140 , 206 , 46 , 9 
Mountain National Bank,12/31/10, 580 , 382 , 320 , 141 , 202 , 42 , 9 
Mountain National Bank,9/30/10, 525 , 352 , 287 , 136 , 177 , 38 , 8 
Mountain National Bank,6/30/10, 526 , 352 , 281 , 144 , 177 , 40 , 9 
Mountain National Bank,3/31/10, 527 , 356 , 285 , 145 , 175 , 42 , 9 
Mountain National Bank,12/31/09, 524 , 351 , 278 , 141 , 177 , 43 , 10 
Mountain National Bank,9/30/09, 520 , 346 , 283 , 157 , 178 , 46 , 10 
Mountain National Bank,6/30/09, 528 , 368 , 299 , 185 , 164 , 50 , 11 
Mountain National Bank,3/31/09, 523 , 363 , 291 , 188 , 163 , 58 , 11 
Mountain National Bank,12/31/08, 545 , 386 , 312 , 207 , 163 , 55 , 12 
Mountain National Bank,9/30/08, 550 , 395 , 314 , 218 , 159 , 59 , 12 
Mountain National Bank,6/30/08, 563 , 411 , 332 , 232 , 153 , 58 , 13 
Mountain National Bank,3/31/08, 567 , 418 , 329 , 237 , 151 , 59 , 14 
Mountain National Bank,12/31/07, 552 , 414 , 316 , 237 , 139 , 56 , 16 
Mountain National Bank,9/30/07, 549 , 418 , 324 , 238 , 133 , 58 , 13 
Mountain National Bank,6/30/07, 648 , 500 , 384 , 290 , 153 , 71 , 16 
Mountain National Bank,3/31/07, 628 , 477 , 360 , 293 , 156 , 70 , 15 
Mountain National Bank,12/31/06, 640 , 489 , N/A , 285 , 156 , 54 , 16 
Mountain National Bank,9/30/06, 605 , 461 , N/A , 258 , 151 , 42 , 15 
Mountain National Bank,6/30/06, 572 , 424 , N/A , 233 , 148 , 42 , 16 
Mountain National Bank,3/31/06, 671 , 495 , N/A , 257 , 177 , 54 , 20 
Mountain National Bank,12/31/05, 631 , 453 , N/A , 227 , 178 , 43 , 22 
Mountain National Bank,9/30/05, 620 , 449 , N/A , 210 , 171 , 34 , 24 
Mountain National Bank,6/30/05, 819 , 595 , N/A , 265 , 224 , 47 , 34 
Mountain National Bank,3/31/05, 819 , 602 , N/A , 263 , 217 , 48 , 30 
Mountain National Bank,12/31/04, 794 , 575 , N/A , 234 , 218 , 41 , 40 
Mountain National Bank,9/30/04, 750 , 565 , N/A , 226 , 185 , 40 , 31 
Mountain National Bank,6/30/04, 746 , 572 , N/A , 221 , 174 , 41 , 34 
Mountain National Bank,3/31/04, 749 , 581 , N/A , 211 , 168 , 51 , 31 
Mountain National Bank,12/31/03, 748 , 579 , N/A , 203 , 170 , 48 , 25 
Mountain National Bank,9/30/03, 712 , 566 , N/A , 198 , 146 , 49 , 28 
Mountain National Bank,6/30/03, 710 , 561 , N/A , 186 , 149 , 53 , 29 
Mountain National Bank,3/31/03, 675 , 533 , N/A , 190 , 142 , 37 , 25 
Mountain National Bank,12/31/02, 652 , 514 , N/A , 192 , 138 , 37 , 29 
