,bank_name,6/30/13,3/31/13,12/31/12,9/30/12,6/30/12,3/31/12,12/31/11,9/30/11,6/30/11,3/31/11,12/31/10,9/30/10,6/30/10,3/31/10,12/31/09,9/30/09,6/30/09,3/31/09,12/31/08,9/30/08,6/30/08,3/31/08,12/31/07,9/30/07,6/30/07,3/31/07,12/31/06,9/30/06,6/30/06,3/31/06,12/31/05,9/30/05,6/30/05,3/31/05,12/31/04,9/30/04,6/30/04,3/31/04,12/31/03,9/30/03,6/30/03,3/31/03,12/31/02,,
Concentration in RE,Community South Bank,2423%,1566%,1518%,1543%,1277%,1202%,1337%,1082%,1071%,1181%,1181%,795%,791%,901%,958%,913%,987%,1109%,1167%,1053%,1011%,983%,899%,938%,932%,781%,741%,678%,721%,617%,559%,539%,651%,577%,488%,493%,459%,425%,407%,398%,381%,374%,382%,,
Concentration in Commercial RE,Community South Bank,2008%,1314%,1266%,1284%,1059%,1001%,1121%,904%,887%,1001%,979%,660%,661%,754%,795%,764%,827%,933%,976%,871%,836%,810%,748%,777%,781%,630%,566%,515%,554%,466%,387%,363%,450%,376%,276%,269%,241%,212%,190%,171%,154%,142%,138%, , 
Concentration in Commercial RE NOO,Community South Bank,1235%,847%,805%,793%,651%,616%,683%,548%,521%,602%,588%,395%,405%,477%,501%,489%,527%,598%,640%,567%,559%,538%,132%,148%,726%,575%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , 
Concentration in Construction & Development,Community South Bank,140%,113%,115%,139%,114%,112%,138%,113%,108%,121%,125%,88%,83%,99%,106%,105%,141%,191%,223%,197%,210%,200%,96%,108%,93%,89%,73%,59%,49%,37%,46%,49%,57%,71%,75%,78%,71%,62%,54%,46%,37%,24%,16%,,
Concentration in 1-4 Family,Community South Bank,364%,222%,224%,232%,196%,181%,205%,170%,176%,172%,195%,130%,126%,143%,157%,145%,155%,172%,187%,177%,169%,166%,144%,153%,142%,143%,166%,154%,157%,140%,160%,164%,186%,186%,196%,207%,199%,196%,200%,208%,212%,217%,226%,,
Concentration in Commercial & Industrial,Community South Bank,152%,100%,102%,151%,147%,129%,162%,140%,126%,131%,109%,72%,62%,52%,44%,47%,34%,36%,38%,36%,38%,34%,57%,63%,54%,49%,40%,46%,53%,51%,60%,62%,76%,69%,75%,94%,90%,95%,99%,97%,99%,89%,80%,  , 
Concentration in Individual Loans,Community South Bank,62%,39%,40%,41%,34%,32%,35%,28%,28%,29%,30%,20%,18%,20%,24%,22%,22%,24%,24%,24%,33%,33%,33%,37%,26%,26%,33%,33%,36%,35%,39%,41%,48%,52%,58%,66%,71%,71%,73%,77%,82%,87%,98%, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
