bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Community South Bank and Trust,12/31/10,2720,2111,1387,776,9,235,11
Community South Bank and Trust,9/30/10,935,746,525,305,20,94,5
Community South Bank and Trust,6/30/10,733,615,496,333,87,86,7
Community South Bank and Trust,3/31/10,798,690,624,361,20,76,10
Community South Bank and Trust,12/31/09,647,546,N/A,225,N/A,56,8
Community South Bank and Trust,9/30/09,726,583,429,251,143,74,5
Community South Bank and Trust,6/30/09,708,566,421,254,141,73,6
Community South Bank and Trust,3/31/09,700,586,463,311,113,80,7
Community South Bank and Trust,12/31/08,733,616,496,333,117,86,7
Community South Bank and Trust,9/30/08,730,619,503,340,110,78,7
Community South Bank and Trust,6/30/08,738,633,538,343,104,83,7
Community South Bank and Trust,3/31/08,783,675,585,364,108,74,9
Community South Bank and Trust,12/31/07,798,690,624,361,108,76,10
Community South Bank and Trust,9/30/07,803,691,625,355,112,68,10
Community South Bank and Trust,6/30/07,746,634,535,300,112,60,10
Community South Bank and Trust,3/31/07,711,605,518,270,107,60,9
Community South Bank and Trust,12/31/06,647,546,N/A,225,100,56,8
Community South Bank and Trust,9/30/06,593,499,N/A,189,94,46,6
Community South Bank and Trust,6/30/06,587,491,N/A,198,96,54,7
Community South Bank and Trust,3/31/06,484,406,N/A,169,78,40,6
Community South Bank and Trust,12/31/05,512,454,N/A,175,76,44,9
Community South Bank and Trust,9/30/05,412,345,N/A,104,67,40,3
Community South Bank and Trust,6/30/05,314,270,N/A,69,43,42,5
Community South Bank and Trust,3/31/05,151,129,N/A,42,22,35,2
