bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Douglas County Bank,3/31/13,4264,2947,2002,767,1318,93,38
Douglas County Bank,12/31/12,4029,2779,1901,743,1250,90,27
Douglas County Bank,9/30/12,1271,881,601,239,390,29,9
Douglas County Bank,6/30/12,1481,1092,769,414,389,35,9
Douglas County Bank,3/31/12,1544,1155,833,476,389,38,9
Douglas County Bank,12/31/11,1490,1097,793,458,393,37,9
Douglas County Bank,9/30/11,1253,924,670,390,329,32,8
Douglas County Bank,6/30/11,1214,896,646,382,318,32,9
Douglas County Bank,3/31/11,1174,875,629,371,299,34,8
Douglas County Bank,12/31/10,1168,887,737,396,281,26,8
Douglas County Bank,9/30/10,1169,886,733,394,283,28,9
Douglas County Bank,6/30/10,874,669,556,313,205,22,6
Douglas County Bank,3/31/10,842,643,535,300,199,21,5
Douglas County Bank,12/31/09,852,658,556,330,194,26,6
Douglas County Bank,9/30/09,735,570,484,297,166,21,5
Douglas County Bank,6/30/09,723,571,487,310,152,19,4
Douglas County Bank,3/31/09,701,562,486,327,139,19,4
Douglas County Bank,12/31/08,712,519,445,346,194,20,4
Douglas County Bank,9/30/08,690,521,453,346,169,18,5
Douglas County Bank,6/30/08,688,529,461,353,160,19,5
Douglas County Bank,3/31/08,696,557,497,397,139,20,5
Douglas County Bank,12/31/07,733,590,527,425,144,20,5
Douglas County Bank,9/30/07,757,607,543,445,150,22,5
Douglas County Bank,6/30/07,797,640,576,473,157,22,5
Douglas County Bank,3/31/07,822,653,602,488,169,24,6
Douglas County Bank,12/31/06,838,658,N/A,474,181,23,6
Douglas County Bank,9/30/06,893,705,N/A,502,187,25,6
Douglas County Bank,6/30/06,933,735,N/A,526,197,26,6
Douglas County Bank,3/31/06,888,691,N/A,492,196,26,7
Douglas County Bank,12/31/05,909,701,N/A,486,209,29,8
Douglas County Bank,9/30/05,942,723,N/A,504,219,29,8
Douglas County Bank,6/30/05,916,691,N/A,480,225,28,10
Douglas County Bank,3/31/05,891,661,N/A,462,230,23,11
Douglas County Bank,12/31/04,899,658,N/A,453,240,24,13
Douglas County Bank,9/30/04,825,610,N/A,412,215,32,13
Douglas County Bank,6/30/04,820,609,N/A,392,211,31,15
Douglas County Bank,3/31/04,782,563,N/A,352,219,33,14
Douglas County Bank,12/31/03,805,569,N/A,368,236,28,15
Douglas County Bank,9/30/03,788,546,N/A,345,241,31,14
Douglas County Bank,6/30/03,810,564,N/A,353,246,31,14
Douglas County Bank,3/31/03,758,536,N/A,335,221,34,14
Douglas County Bank,12/31/02,794,557,N/A,338,238,39,17
