bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Harvest Community Bank,12/31/16,1360,695,368,180,623,335,17
Harvest Community Bank,9/30/16,1278,661,340,169,577,319,17
Harvest Community Bank,6/30/16,1176,604,312,155,539,295,16
Harvest Community Bank,3/31/16,1167,597,315,148,537,294,17
Harvest Community Bank,12/31/15,1124,586,300,140,506,295,17
Harvest Community Bank,9/30/15,1061,584,297,144,450,275,15
Harvest Community Bank,6/30/15,897,485,244,117,389,238,13
Harvest Community Bank,3/31/15,756,425,198,92,312,192,11
Harvest Community Bank,12/31/14,688,383,177,81,287,176,11
Harvest Community Bank,9/30/14,594,338,162,64,242,165,10
Harvest Community Bank,6/30/14,581,330,159,61,236,164,5
Harvest Community Bank,3/31/14,567,319,142,61,233,165,5
Harvest Community Bank,12/31/13,574,324,144,62,234,171,3
Harvest Community Bank,9/30/13,571,323,140,61,233,179,3
Harvest Community Bank,6/30/13,572,333,138,59,234,188,3
Harvest Community Bank,3/31/13,562,328,141,62,218,189,2
Harvest Community Bank,12/31/12,570,338,144,65,216,191,2
Harvest Community Bank,9/30/12,576,326,144,67,230,200,4
Harvest Community Bank,6/30/12,601,339,151,72,242,208,3
Harvest Community Bank,3/31/12,622,355,163,78,246,220,4
Harvest Community Bank,12/31/11,618,362,168,83,234,229,4
Harvest Community Bank,9/30/11,523,302,156,79,203,202,2
Harvest Community Bank,6/30/11,523,301,156,79,202,198,2
Harvest Community Bank,3/31/11,534,310,165,91,205,213,2
Harvest Community Bank,12/31/10,536,313,166,93,204,218,3
Harvest Community Bank,9/30/10,533,322,172,95,191,256,3
Harvest Community Bank,6/30/10,546,330,175,95,194,264,2
Harvest Community Bank,3/31/10,534,320,172,91,193,279,2
Harvest Community Bank,12/31/09,497,289,164,83,188,270,2
Harvest Community Bank,9/30/09,502,290,164,93,189,301,3
Harvest Community Bank,6/30/09,491,279,171,95,187,335,3
Harvest Community Bank,3/31/09,495,285,177,98,187,337,3
Harvest Community Bank,12/31/08,498,300,190,107,172,351,16
Harvest Community Bank,9/30/08,474,280,180,100,166,377,23
Harvest Community Bank,6/30/08,447,283,192,50,149,416,26
Harvest Community Bank,3/31/08,460,297,200,46,148,414,20
Harvest Community Bank,12/31/07,484,314,314,48,154,399,15
Harvest Community Bank,9/30/07,581,366,366,44,193,325,15
Harvest Community Bank,6/30/07,629,389,386,38,215,297,11
Harvest Community Bank,3/31/07,662,403,400,34,235,242,11
Harvest Community Bank,12/31/06,631,389,N/A,26,225,264,12
Harvest Community Bank,9/30/06,618,381,N/A,36,220,269,12
Harvest Community Bank,6/30/06,614,367,N/A,32,227,223,14
Harvest Community Bank,3/31/06,612,363,N/A,30,230,186,16
Harvest Community Bank,12/31/05,576,335,N/A,22,221,191,16
Harvest Community Bank,9/30/05,555,315,N/A,31,219,195,19
Harvest Community Bank,6/30/05,549,317,N/A,37,213,201,17
Harvest Community Bank,3/31/05,470,254,N/A,27,201,209,16
Harvest Community Bank,12/31/04,423,202,N/A,18,204,215,12
Harvest Community Bank,9/30/04,897,394,N/A,31,459,432,20
Harvest Community Bank,6/30/04,863,398,N/A,37,422,342,18
Harvest Community Bank,3/31/04,866,397,N/A,41,423,280,20
Harvest Community Bank,12/31/03,845,398,N/A,34,398,237,21
Harvest Community Bank,9/30/03,837,412,N/A,24,377,211,21
Harvest Community Bank,6/30/03,807,427,N/A,20,333,195,24
Harvest Community Bank,3/31/03,734,398,N/A,24,303,170,23
Harvest Community Bank,12/31/02,642,376,N/A,22,234,162,24
