bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
NOVA Bank,9/30/12,1994,1287,842,106,707,366,12
NOVA Bank,6/30/12,1729,1106,710,93,623,319,17
NOVA Bank,3/31/12,1275,810,522,74,465,245,8
NOVA Bank,12/31/11,1247,798,522,71,449,236,12
NOVA Bank,9/30/11,1231,788,516,76,441,258,9
NOVA Bank,6/30/11,1080,681,455,66,397,243,6
NOVA Bank,3/31/11,1063,677,441,72,383,246,6
NOVA Bank,12/31/10,1247,785,521,88,457,303,11
NOVA Bank,9/30/10,1013,639,428,67,370,227,3
NOVA Bank,6/30/10,980,606,407,71,371,222,3
NOVA Bank,3/31/10,1018,624,420,72,391,238,3
NOVA Bank,12/31/09,1054,646,446,85,404,240,4
NOVA Bank,9/30/09,686,407,280,51,277,194,10
NOVA Bank,6/30/09,689,410,289,50,277,205,11
NOVA Bank,3/31/09,793,422,282,61,368,152,7
NOVA Bank,12/31/08,808,438,305,79,367,130,7
NOVA Bank,9/30/08,741,406,283,72,333,115,5
NOVA Bank,6/30/08,789,428,295,70,360,121,7
NOVA Bank,3/31/08,784,439,317,71,344,86,6
NOVA Bank,12/31/07,775,432,316,57,343,61,6
NOVA Bank,9/30/07,789,453,348,71,336,59,12
NOVA Bank,6/30/07,747,428,342,74,318,41,11
NOVA Bank,3/31/07,722,401,341,72,321,79,10
NOVA Bank,12/31/06,743,447,N/A,87,295,34,13
NOVA Bank,9/30/06,685,404,N/A,77,282,30,12
NOVA Bank,6/30/06,642,389,N/A,69,253,8,14
NOVA Bank,3/31/06,634,382,N/A,62,251,15,34
NOVA Bank,12/31/05,704,438,N/A,44,266,28,30
NOVA Bank,9/30/05,677,448,N/A,41,229,19,38
NOVA Bank,6/30/05,732,484,N/A,36,248,14,40
NOVA Bank,3/31/05,682,474,N/A,28,208,17,38
NOVA Bank,12/31/04,661,520,N/A,15,142,15,34
NOVA Bank,9/30/04,636,512,N/A,18,124,16,21
NOVA Bank,6/30/04,715,566,N/A,26,149,32,26
NOVA Bank,3/31/04,608,542,N/A,24,67,29,24
NOVA Bank,12/31/03,672,603,N/A,26,69,33,23
NOVA Bank,9/30/03,697,639,N/A,27,58,32,16
NOVA Bank,6/30/03,646,595,N/A,27,52,30,18
NOVA Bank,3/31/03,604,554,N/A,28,50,21,3
NOVA Bank,12/31/02,586,539,N/A,26,46,24,4
