bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Valley Bank,3/31/14,546,388,377,176,152,210,8
Valley Bank,12/31/13,621,440,427,200,176,231,9
Valley Bank,9/30/13,609,430,416,185,172,227,9
Valley Bank,6/30/13,677,459,444,180,212,247,9
Valley Bank,3/31/13,634,473,439,169,154,234,8
Valley Bank,12/31/12,655,480,445,183,168,210,9
Valley Bank,9/30/12,716,531,485,226,178,213,9
Valley Bank,6/30/12,769,530,483,233,230,221,9
Valley Bank,3/31/12,777,545,493,247,225,222,10
Valley Bank,12/31/11,874,577,528,269,288,214,11
Valley Bank,9/30/11,482,322,295,163,152,127,7
Valley Bank,6/30/11,467,329,300,166,126,121,6
Valley Bank,3/31/11,476,334,306,177,130,137,6
Valley Bank,12/31/10,526,360,333,188,153,135,6
Valley Bank,9/30/10,531,372,345,180,146,137,6
Valley Bank,6/30/10,533,376,348,176,144,145,6
Valley Bank,3/31/10,529,384,356,178,135,142,6
Valley Bank,12/31/09,579,409,379,179,160,152,7
Valley Bank,9/30/09,653,465,435,207,177,166,8
Valley Bank,6/30/09,703,484,471,210,208,157,8
Valley Bank,3/31/09,687,493,481,218,181,141,8
Valley Bank,12/31/08,678,491,484,218,174,150,9
Valley Bank,9/30/08,679,495,488,224,169,145,9
Valley Bank,6/30/08,683,495,489,225,177,144,9
Valley Bank,3/31/08,655,529,524,240,119,146,4
Valley Bank,12/31/07,661,537,532,225,118,154,6
Valley Bank,9/30/07,655,540,535,231,107,144,7
Valley Bank,6/30/07,670,530,524,239,130,151,7
Valley Bank,3/31/07,732,593,587,276,128,126,6
Valley Bank,12/31/06,703,566,N/A,275,129,126,6
Valley Bank,9/30/06,719,571,N/A,278,140,135,5
Valley Bank,6/30/06,706,565,N/A,291,134,142,5
Valley Bank,3/31/06,715,593,N/A,308,118,133,5
Valley Bank,12/31/05,705,577,N/A,280,124,122,5
Valley Bank,9/30/05,720,541,N/A,246,174,125,6
Valley Bank,6/30/05,697,518,N/A,249,173,108,6
Valley Bank,3/31/05,754,566,N/A,277,181,118,7
Valley Bank,12/31/04,751,570,N/A,279,173,122,7
Valley Bank,9/30/04,736,571,N/A,253,159,130,7
Valley Bank,6/30/04,745,589,N/A,237,149,135,9
Valley Bank,3/31/04,720,569,N/A,220,139,142,9
Valley Bank,12/31/03,712,571,N/A,226,132,153,10
Valley Bank,9/30/03,669,540,N/A,200,120,155,10
Valley Bank,6/30/03,733,554,N/A,192,170,174,9
Valley Bank,3/31/03,673,520,N/A,152,146,171,8
Valley Bank,12/31/02,624,462,N/A,145,154,172,8
