bank_name,quarter,re,comm_re,comm_re_noo,const_and_dev,1_4_family,c_and_i,individual
Waccamaw Bank,3/31/12,"1,642",783,480,286,859,81,65
Waccamaw Bank,12/31/11,"1,427",697,430,256,736,69,52
Waccamaw Bank,9/30/11,"1,005",485,302,184,527,85,37
Waccamaw Bank,6/30/11,802,408,270,176,400,53,27
Waccamaw Bank,3/31/11,832,422,281,186,414,60,29
Waccamaw Bank,12/31/10,819,402,262,182,412,59,28
Waccamaw Bank,9/30/10,633,434,284,201,194,61,30
Waccamaw Bank,6/30/10,681,471,322,234,206,65,33
Waccamaw Bank,3/31/10,706,513,362,265,191,65,33
Waccamaw Bank,12/31/09,712,523,385,287,188,77,32
Waccamaw Bank,9/30/09,604,449,337,252,155,77,29
Waccamaw Bank,6/30/09,618,462,349,260,157,79,27
Waccamaw Bank,3/31/09,637,486,365,268,152,79,29
Waccamaw Bank,12/31/08,643,476,331,251,167,86,34
Waccamaw Bank,9/30/08,645,478,331,250,166,86,24
Waccamaw Bank,6/30/08,692,518,363,276,173,96,30
Waccamaw Bank,3/31/08,406,535,367,277,170,94,31
Waccamaw Bank,12/31/07,665,495,360,272,169,97,31
Waccamaw Bank,9/30/07,659,491,369,273,169,95,32
Waccamaw Bank,6/30/07,648,483,380,273,168,102,32
Waccamaw Bank,3/31/07,651,498,390,274,157,180,34
Waccamaw Bank,12/31/06,638,480,N/A,275,162,123,33
Waccamaw Bank,9/30/06,642,478,N/A,273,167,101,34
Waccamaw Bank,6/30/06,649,471,N/A,245,184,107,34
Waccamaw Bank,3/31/06,672,484,N/A,258,193,90,32
Waccamaw Bank,12/31/05,674,485,N/A,256,192,89,32
Waccamaw Bank,9/30/05,692,497,N/A,258,200,89,34
Waccamaw Bank,6/30/05,673,490,N/A,252,185,104,28
Waccamaw Bank,3/31/05,741,536,N/A,259,198,107,33
Waccamaw Bank,12/31/04,446,232,N/A,72,242,359,36
Waccamaw Bank,9/30/04,458,232,N/A,92,238,283,34
Waccamaw Bank,6/30/04,442,259,N/A,98,190,237,35
Waccamaw Bank,3/31/04,422,237,N/A,102,185,217,40
Waccamaw Bank,12/31/03,416,234,N/A,111,152,204,42
Waccamaw Bank,9/30/03,484,288,N/A,152,207,300,57
Waccamaw Bank,6/30/03,490,289,N/A,169,217,309,59
Waccamaw Bank,3/31/03,485,283,N/A,176,222,311,67
Waccamaw Bank,12/31/02,445,245,N/A,162,220,319,76
